tag,Temp_amb,Transparencia,Temp_agua,Oxidacion,Conductividad,pH,Sulfuros,pH_CEA,OD,Hierro,DQO,DBO,Colif_Fecales,Colif_Totales,SST,Alc_Total,Cl-Total,Conductividad,Dureza,Fl,P_Total,Nitratos,Nitritos,N_total,SDT,SS,Solidos_Totales,Sulfatos,Al,As,Ba,Cu,Mn,Pb,Na,Zn,Turbiedad,Año,Mes,Est
01-sep-15,24,0.25,25.43,1.68,0.707,7.43,2.3,8.79,2.22,0.05,147.98,11.31,430,430,14,350.52,56.71,804,142.2,0.91,1.15,0.12,0.022,6.8,566,0.1,580,8.55,0.0671,0.0025,0.005,0.05,0.087,0.0025,98.2,0.02,28,15,9,1
02-sep-15,22,0.26,26.05,6.25,0.697,7.37,2.34,8.88,3.24,0.05,155.11,10.89,230,230,20,352,55.74,819,146.6,0.93,1.1,0.1,0.022,6.72,593,0.1,613,9.05,0.055,0.0025,0.005,0.05,0.085,0.0025,97.8,0.02,30,15,9,2
03-sep-15,24,0.3,25.23,2.18,0.71,7.47,2.1,8.74,1.7,0.05,95.56,10.08,230,430,22,346.48,55.79,821,143.8,0.93,1.13,0.1,0.022,6.42,572,0.1,594,8.02,0.0583,0.0025,0.005,0.05,0.106,0.0025,98,0.02,24,15,9,3
04-sep-15,24,0.35,25.05,4.29,0.706,7.47,2.5,8.79,2.25,0.05,98.09,12.03,430,930,19,344.11,55.04,825,145.8,0.93,1.14,0.1,0.022,6.44,435,0.1,454,8.26,0.0484,0.0025,0.005,0.05,0.094,0.0025,96.1,0.029,27,15,9,4
05-sep-15,24,0.25,25.53,4.45,0.7,7.53,2.58,8.75,1.54,0.05,94.55,9.78,2400,4600,11,353.48,93.82,823,136.6,0.89,1.17,0.1,0.022,5.49,545,0.1,556,8.18,0.0517,0.0025,0.005,0.05,0.102,0.0025,96.7,0.02,25,15,9,5
01-oct-15,27.4,0.15,24.03,9.72,0.66,7.64,1.38,8.7,1.7,0.177,97.78,19.08,110000,110000,20,325.7,53.3,779,142.43,0.84,1.33,0.1,0.022,7.92,567,0.1,587,8.56,0.01,0.0025,0.0085,0.05,0.203,0.0025,84.4,0.052,45,15,10,1
02-oct-15,26.2,0.15,22.53,4.49,0.618,7.6,1.8,9.25,8.62,0.081,164.02,11.07,430,430,20,329.11,56.61,772,149.04,0.95,1.01,0.1,0.022,6.14,563,0.1,583,8.87,0.01,0.0025,0.0095,0.05,0.065,0.0025,87.8,0.045,55,15,10,2
03-oct-15,24.4,0.15,22.79,8,0.658,7.62,2.26,9.14,5.14,0.0072,96.77,11.7,230,230,22,324.23,57.4,775,147.04,0.97,1.05,0.1,0.022,6.38,572,0.1,594,8.65,0.01,0.0025,0.0098,0.05,0.09,0.0025,86.5,0.041,60,15,10,3
04-oct-15,24.7,0.15,23.78,8.3,0.661,7.96,1.54,9.16,6.09,0.059,96.26,10.62,230,230,24,325.7,57.05,767,139.82,0.95,1.04,0.1,0.022,6.14,548,0.1,572,11.05,0.01,0.0025,0.0105,0.05,0.074,0.0025,87.5,0.037,55,15,10,4
05-oct-15,28.6,0.15,24.02,10.1,0.655,7.65,1.68,9.13,4.82,0.064,91.73,10.11,2400,2400,32,334,55.12,772,155.06,0.97,1.02,0.1,0.022,8.03,555,0.1,587,10.07,0.01,0.0025,0.005,0.05,0.074,0.0025,87.3,0.033,60,15,10,5
01-nov-15,,,,,,,6.4,9.33,13.89,0.362,206.81,22.11,110000,110000,72,306.73,53.32,696,134.39,0.9,1.11,0.1,0.022,8.15,500,0.1,572,7.82,0.3432,0.0025,0.0096,0.05,0.05,0.0051,86.3,0.02,75,15,11,1
02-nov-15,,,,,,,2.5,9.41,14.7,0.137,202.05,19.08,11000,24000,64,320.74,55.61,733,136.74,0.92,0.9,0.1,0.022,5.38,512,0.1,576,7.72,0.01,0.0025,0.0098,0.05,0.05,0.0025,92.8,0.02,65,15,11,2
03-nov-15,,,,,,,7.3,9.11,10.28,0.159,194.69,14058,46000,46000,50,314.65,54.58,691,133.42,0.89,1.03,0.1,0.022,6.44,503,0.1,553,8.4,0.01,0.0025,0.0073,0.05,0.058,0.0025,92.4,0.02,60,15,11,3
04-nov-15,,,,,,,2.64,9.2,10.07,0.092,190.29,13.11,930,2400,49,319.32,55.68,733,136.74,0.91,1.03,0.1,0.022,6.5,496,0.1,545,8.07,0.01,0.0025,0.0101,0.05,0.05,0.0025,94.3,0.02,65,15,11,4
05-nov-15,,,,,,,2.6,9.17,8.84,0.083,186.96,12.51,2400,4600,48,322.16,55.75,711,132.64,0.94,0.99,0.1,0.022,6.03,517,0.1,565,8.83,0.01,0.0025,0.0095,0.05,0.05,0.0025,92,0.02,60,15,11,5
01-dic-15,26,0.15,19.44,6,0.655,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,1
02-dic-15,20.3,0.15,18.64,4.17,0.654,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,2
03-dic-15,19.4,0.15,19.3,6.13,0.661,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,3
04-dic-15,21.3,0.15,19.91,8.4,0.653,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,4
05-dic-15,24,0.15,19.49,6.66,0.66,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,5
01-ene-16,17,0.15,16.64,4.9,0.68,7.48,2.6,9.09,6.24,0.092,151.46,13.77,2400,4600,52,321.11,57.72,773,141.86,0.89,1.11,0.1,0.022,7.11,533,0.1,585,11.39,0.1573,0.0025,0.009,0.05,0.087,0.0025,104.7,0.044,75,16,1,1
02-ene-16,14,0.15,16.07,4.94,0.679,7.22,2.98,9.16,7.01,0.055,140.66,15.18,230,230,47,317.58,57.29,764,117.02,0.94,1.16,0.1,0.022,7.53,568,0.1,615,12.62,0.0176,0.0025,0.0052,0.05,0.076,0.0025,99,0.02,70,16,1,2
03-ene-16,14,0.15,16.07,4.94,0.679,7.22,2.52,9.19,7.77,0.05,127.51,15.57,390,2100,53,323.08,58.25,763,112.85,0.85,1.1,0.1,0.022,7.58,528,0.1,581,12.75,0.1199,0.0025,0.0052,0.05,0.067,0.0025,100.5,0.44,70,16,1,3
04-ene-16,16,0.15,16.31,6.62,0.676,7.49,2.32,9.23,7.42,0.06,129.85,13.98,2400,11000,47,324.06,58.16,766,130.33,0.79,1.16,0.1,0.022,7.41,543,0.1,590,11.75,0.0583,0.0025,0.0063,0.05,0.06,0.0025,99.4,0.02,80,16,1,4
05-ene-16,16,0.15,16.31,6.62,0.676,7.49,2.9,9.2,6.4,0.134,121.96,17.79,4300,15000,58,321.31,57.96,766,133.71,0.79,1.06,0.1,0.022,8.23,543,0.1,601,12.75,0.2189,0.0025,0.0091,0.05,0.058,0.0025,101,2.05,70,16,1,5
01-feb-16,26,0.15,20.75,9.3,0.691,7.71,2.34,9.14,9.9,0.08,168.4,23.28,24000,46000,74,335.44,57.97,802,141.25,0.81,1.43,0.1,0.022,9.09,519,0.1,593,9.46,0.0693,0.0025,0.0099,0.05,0.116,0.0025,106.7,0.02,70,16,2,1
02-feb-16,24,0.15,19.5,3.33,0.695,7.86,2.28,9.33,12.77,0.05,177.4,17.88,430,930,65,338.59,58.21,801,153.79,5.87,1.29,0.1,0.022,8.13,538,0.1,603,12.14,0.0528,0.0025,0.0103,0.05,0.086,0.0025,105.5,0.02,70,16,2,2
03-feb-16,26,0.15,19.75,10.78,0.7,7.83,2.22,9.33,12.9,0.05,176.29,17.25,430,2400,60,337.21,58.12,802,143.53,0.99,1.25,0.1,0.022,7.58,498,0.1,558,9.61,0.0935,0.0025,0.0135,0.05,0.078,0.0025,102.6,0.02,75,16,2,3
04-feb-16,26,0.15,20.26,7.29,0.692,7.73,4.08,9.4,13.29,0.05,181.84,19.14,4600,4600,49,334.45,58.69,799,137.08,0.99,1.24,0.1,0.022,7.34,560,0.1,609,9.92,0.099,0.0025,0.0114,0.05,0.069,0.0025,105.3,0.181,70,16,2,4
05-feb-16,26,0.15,19.48,5.25,0.693,7.77,3.08,9.41,12.74,0.071,153.21,19.86,230,430,64,335.44,58.31,803,144.48,0.64,1.25,0.15,0.022,7.91,524,0.1,588,40.65,0.0638,0.0025,0.0085,0.05,0.57,0.0025,105.9,0.033,75,16,2,5
01-mar-16,23,0.15,19.46,9.22,0.71,7.91,4.44,9.1,10.37,0.101,167.53,15.69,46000,46000,32,342.93,59.55,800,135.36,0.81,1.44,0.1,0.022,7.95,555,0.1,587,10.83,0.2002,0.0025,0.0146,0.05,0.073,0.0025,107,0.024,75,16,3,1
02-mar-16,22,0.13,18,5.3,0.693,7.66,4.28,9.43,19.54,0.088,174.24,18.09,230,430,12,337.8,61.89,802,136.06,0.84,1.21,0.1,0.022,7.76,604,0.1,616,10.29,0.1474,0.0025,0.012,0.05,0.05,0.0025,108.7,0.065,75,16,3,2
03-mar-16,23,0.13,21.37,14.2,0.709,7.83,5.4,9.51,18.81,0.088,183.59,26.52,90,230,56,341.16,62.89,792,183.59,0.82,1.18,0.1,0.022,8.07,591,0.1,647,9.54,0.1474,0.0025,0.0113,0.05,0.05,0.0025,106.7,0.02,75,16,3,3
04-mar-16,23,0.13,21.43,15,0.706,7.83,5.32,9.49,17.87,0.069,158.76,21.84,90,90,35,337.61,63.03,799,136.43,0.83,1.14,0.1,0.022,7.7,595,0.1,630,10.44,0.0528,0.0025,0.0099,0.05,0.05,0.0025,107.9,0.024,70,16,3,4
05-mar-16,23,0.13,20.82,12.2,0.719,7.86,4.38,9.39,17.95,0.078,167.53,22.68,90,90,48,341.94,62.32,786,139.39,0.85,1.09,0.15,0.022,7.67,567,0.1,615,9.89,0.1474,0.0025,0.0129,0.05,0.05,0.0025,107.1,0.024,75,16,3,5
