"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","38","24.866","3.004","19.4","30.4","12.079"
"pH","38","9.101","0.277","8.29","9.46","3.04"
"Oxígeno disuelto","38","10.576","5.219","1.92","19.43","49.349"
"Conductividad","38","828.947","84.353","605","939","10.176"
"Turbiedad","38","74.316","28.583","39","190","38.461"
"Alcalinidad total","38","344.229","37.887","234.5","392","11.006"
"Cloruros totales","38","60.474","9.378","34.84","72.92","15.508"
"Dureza total","35","133.653","16.771","99.65","182.68","12.548"
"Fluoruros","38","0.815","0.147","0.57","1.17","17.987"
"Nitrógeno de nitratos","38","0.112","0.045","0.1","0.35","40.409"
"Nitrógeno de nitritos","38","70.027","229.939","0.022","990","328.356"
"Nitrógeno amoniacal","38","0.876","0.634","0.5","3.65","72.441"
"Nitrógeno total Kjeldahl","38","8.689","1.964","1.78","11.83","22.599"
"Sulfatos","38","11.266","2.824","2.95","24.25","25.066"
"SAAM","38","0.019","0","0.019","0.019","0"
"DBO Turbiedad","38","18.3","4.37","12.09","28.88","23.878"
"DQO","38","180.241","41.403","97.21","323.3","22.971"
"Grasas y aceites","35","8.515","0.61","8.37","11.83","7.168"
"Fósforo total","38","0.871","0.326","0.37","2.32","37.403"
"SST","38","67.816","33.611","7","200","49.562"
"Sólidos disueltos tot.","38","560.132","70.896","286","670","12.657"
"Sólidos sedimentables","38","0.1","0","0.1","0.1","0"
"Sulfuros","35","0.954","0.637","0.1","2.32","66.796"
"Aluminio","38","63.723","135.656","0.107","530","212.884"
"Arsénico","38","492.107","1050.194","0.002","2800","213.407"
"Bario","38","4717.896","3515.246","0.005","9100","74.509"
"Cadmio","38","0","0","0","0","0"
"Cobre","38","17.167","103.78","0.05","640","604.53"
"Cromo","38","0.05","0","0.05","0.05","0"
"Fierro","38","284.726","383.607","0.112","940","134.729"
"Manganeso","38","493.188","329.943","0.05","980","66.9"
"Mercurio","38","16526.316","28813.226","0","98000","174.348"
"Níquel","38","0.1","0","0.1","0.1","0"
"Plomo","38","186.818","773.885","0.002","3800","414.245"
"Sodio","38","104.513","17.271","73.2","133.1","16.526"
"Zinc","38","215.305","256.856","0.02","770","119.299"
"Coliformes totales","18","69871.111","221749.329","230","930000","317.369"
"Coliformes fecales","38","30710.421","150736.861","3","930000","490.833"
"Profundidad","38","2.996","0.834","0.93","4.5","27.834"
"Temp. ambiente","38","25.113","3.507","17.9","30.5","13.966"
"Transparencia Secchi","28","0.39","0.351","0.09","0.9","90.083"
"Sólidos totales","38","627.763","84.775","286","731","13.504"
"Nitrógeno total","38","8.682","1.947","1.78","11.83","22.42"
"Clorofilas","18","31.128","43.432","0.352","129.3","139.526"
"Materia flotante","22","0","0","0","0","NaN"
