"fecha","año","mes","est","parámetro","valor"
2020-03-25,"2020","3","RZ-03","Cloruros totales",37.76
2020-03-25,"2020","3","RZ-03","Dureza total",142.9
2020-03-25,"2020","3","RZ-03","Fluoruros",0.28
2020-03-25,"2020","3","RZ-03","Nitrógeno de nitratos",0.3
2020-03-25,"2020","3","RZ-03","Nitrógeno de nitritos",0.056
2020-03-25,"2020","3","RZ-03","Nitrógeno amoniacal",6
2020-03-25,"2020","3","RZ-03","Nitrógeno total Kjeldahl",7.4
2020-03-25,"2020","3","RZ-03","Sulfatos",10.57
2020-03-25,"2020","3","RZ-03","SAAM",0.39
2020-03-25,"2020","3","RZ-03","DBO",5.39
2020-03-25,"2020","3","RZ-03","DQO",29.03
2020-03-25,"2020","3","RZ-03","Grasas y aceites",5.14
2020-03-25,"2020","3","RZ-03","Fósforo total",1.29
2020-03-25,"2020","3","RZ-03","SST",17
2020-03-25,"2020","3","RZ-03","Sólidos disueltos tot.",333
2020-03-25,"2020","3","RZ-03","Sólidos sedimentables",0.1
2020-03-25,"2020","3","RZ-03","Sulfuros",0.1
2020-03-25,"2020","3","RZ-03","Aluminio",0.538
2020-03-25,"2020","3","RZ-03","Arsénico",0.0025
2020-03-25,"2020","3","RZ-03","Bario",0.101
2020-03-25,"2020","3","RZ-03","Cadmio",0.0005
2020-03-25,"2020","3","RZ-03","Cobre",0.05
2020-03-25,"2020","3","RZ-03","Cromo",0.05
2020-03-25,"2020","3","RZ-03","Fierro",0.909
2020-03-25,"2020","3","RZ-03","Manganeso",0.371
2020-03-25,"2020","3","RZ-03","Mercurio",0.00067
2020-03-25,"2020","3","RZ-03","Níquel",0.1
2020-03-25,"2020","3","RZ-03","Plomo",0.0025
2020-03-25,"2020","3","RZ-03","Sodio",40.3
2020-03-25,"2020","3","RZ-03","Zinc",0.021
2020-03-25,"2020","3","RZ-03","Coliformes totales",15000
2020-03-25,"2020","3","RZ-03","Coliformes fecales",9300
2020-03-25,"2020","3","RZ-03","Temp. ambiente",31
2020-03-25,"2020","3","RZ-03","Acidez total",8.56
2020-03-25,"2020","3","RZ-03","Dureza de calcio",86.68
2020-03-25,"2020","3","RZ-03","Sólidos totales",350
2020-03-25,"2020","3","RZ-03","Nitrógeno total",7.76
2020-03-25,"2020","3","RL-02","Temperatura",27
2020-03-25,"2020","3","RL-02","pH",6.7
2020-03-25,"2020","3","RL-02","Oxígeno disuelto",0.39
2020-03-25,"2020","3","RL-02","Conductividad",1067
2020-03-25,"2020","3","RL-02","Turbiedad",150
2020-03-25,"2020","3","RL-02","Alcalinidad total",406.41
2020-03-25,"2020","3","RL-02","Cloruros totales",68.55
2020-03-25,"2020","3","RL-02","Dureza total",685
2020-03-25,"2020","3","RL-02","Fluoruros",1.37
2020-03-25,"2020","3","RL-02","Nitrógeno de nitratos",0.19
2020-03-25,"2020","3","RL-02","Nitrógeno de nitritos",0.01
2020-03-25,"2020","3","RL-02","Nitrógeno amoniacal",6.17
2020-03-25,"2020","3","RL-02","Nitrógeno total Kjeldahl",9.43
2020-03-25,"2020","3","RL-02","Sulfatos",92.26
2020-03-25,"2020","3","RL-02","SAAM",2.57
2020-03-25,"2020","3","RL-02","DBO",36.84
2020-03-25,"2020","3","RL-02","DQO",80.2
2020-03-25,"2020","3","RL-02","Grasas y aceites",8.36
2020-03-25,"2020","3","RL-02","Fósforo total",2.32
2020-03-25,"2020","3","RL-02","SST",305
2020-03-25,"2020","3","RL-02","Sólidos disueltos tot.",680
2020-03-25,"2020","3","RL-02","Sólidos sedimentables",3
2020-03-25,"2020","3","RL-02","Sulfuros",2.92
2020-03-25,"2020","3","RL-02","Aluminio",13.85
2020-03-25,"2020","3","RL-02","Arsénico",0.0025
2020-03-25,"2020","3","RL-02","Bario",0.197
2020-03-25,"2020","3","RL-02","Cadmio",0.00057
2020-03-25,"2020","3","RL-02","Cobre",0.05
2020-03-25,"2020","3","RL-02","Cromo",0.05
2020-03-25,"2020","3","RL-02","Fierro",8.121
2020-03-25,"2020","3","RL-02","Manganeso",0.253
2020-03-25,"2020","3","RL-02","Mercurio",0.0005
2020-03-25,"2020","3","RL-02","Níquel",0.1
2020-03-25,"2020","3","RL-02","Plomo",0.0073
2020-03-25,"2020","3","RL-02","Sodio",116
2020-03-25,"2020","3","RL-02","Zinc",0.056
2020-03-25,"2020","3","RL-02","Coliformes totales",11000000
2020-03-25,"2020","3","RL-02","Coliformes fecales",4600000
2020-03-25,"2020","3","RL-02","Temp. ambiente",30
2020-03-25,"2020","3","RL-02","Acidez total",22.08
2020-03-25,"2020","3","RL-02","Dureza de calcio",184.79
2020-03-25,"2020","3","RL-02","Sólidos totales",985
2020-03-25,"2020","3","RL-02","Nitrógeno total",9.62
2020-03-25,"2020","3","CS-01","Temperatura",25
2020-03-25,"2020","3","CS-01","pH",8
2020-03-25,"2020","3","CS-01","Oxígeno disuelto",5.17
2020-03-25,"2020","3","CS-01","Conductividad",927
2020-03-25,"2020","3","CS-01","Turbiedad",40
2020-03-25,"2020","3","CS-01","Alcalinidad total",346.93
2020-03-25,"2020","3","CS-01","Cloruros totales",57.14
2020-03-25,"2020","3","CS-01","Dureza total",275.77
2020-03-25,"2020","3","CS-01","Fluoruros",1
2020-03-25,"2020","3","CS-01","Nitrógeno de nitratos",0.22
2020-03-25,"2020","3","CS-01","Nitrógeno de nitritos",0.01
2020-03-25,"2020","3","CS-01","Nitrógeno amoniacal",0.5
2020-03-25,"2020","3","CS-01","Nitrógeno total Kjeldahl",1.46
2020-03-25,"2020","3","CS-01","Sulfatos",100.24
2020-03-25,"2020","3","CS-01","SAAM",0.1
2020-03-25,"2020","3","CS-01","DBO",1.83
2020-03-25,"2020","3","CS-01","DQO",31
2020-03-25,"2020","3","CS-01","Grasas y aceites",5.14
2020-03-25,"2020","3","CS-01","Fósforo total",0.63
2020-03-25,"2020","3","CS-01","SST",41
2020-03-25,"2020","3","CS-01","Sólidos disueltos tot.",622
2020-03-25,"2020","3","CS-01","Sólidos sedimentables",0.1
2020-03-25,"2020","3","CS-01","Sulfuros",0.45
2020-03-25,"2020","3","CS-01","Aluminio",3.61
2020-03-25,"2020","3","CS-01","Arsénico",0.0025
2020-03-25,"2020","3","CS-01","Bario",0.203
2020-03-25,"2020","3","CS-01","Cadmio",0.0005
2020-03-25,"2020","3","CS-01","Cobre",0.05
2020-03-25,"2020","3","CS-01","Cromo",0.05
2020-03-25,"2020","3","CS-01","Fierro",2.158
2020-03-25,"2020","3","CS-01","Manganeso",0.05
2020-03-25,"2020","3","CS-01","Mercurio",0.0005
2020-03-25,"2020","3","CS-01","Níquel",0.1
2020-03-25,"2020","3","CS-01","Plomo",0.0025
2020-03-25,"2020","3","CS-01","Sodio",92.9
2020-03-25,"2020","3","CS-01","Zinc",0.026
2020-03-25,"2020","3","CS-01","Coliformes totales",110000
2020-03-25,"2020","3","CS-01","Coliformes fecales",46000
2020-03-25,"2020","3","CS-01","Temp. ambiente",26
2020-03-25,"2020","3","CS-01","Acidez total",2
2020-03-25,"2020","3","CS-01","Dureza de calcio",135.14
2020-03-25,"2020","3","CS-01","Sólidos totales",663
2020-03-25,"2020","3","CS-01","Nitrógeno total",1.68
2020-04-07,"2020","4","RZ-05","Temperatura",16
2020-04-07,"2020","4","RZ-05","pH",7.8
2020-04-07,"2020","4","RZ-05","Oxígeno disuelto",5.49
2020-04-07,"2020","4","RZ-05","Conductividad",630
2020-04-07,"2020","4","RZ-05","Turbiedad",5.2
2020-04-07,"2020","4","RZ-05","Alcalinidad total",257
2020-04-07,"2020","4","RZ-05","Cloruros totales",27.96
2020-04-07,"2020","4","RZ-05","Dureza total",113.23
2020-04-07,"2020","4","RZ-05","Fluoruros",0.35
2020-04-07,"2020","4","RZ-05","Nitrógeno de nitratos",0.29
2020-04-07,"2020","4","RZ-05","Nitrógeno de nitritos",0.102
2020-04-07,"2020","4","RZ-05","Nitrógeno amoniacal",19.04
2020-04-07,"2020","4","RZ-05","Nitrógeno total Kjeldahl",20.5
2020-04-07,"2020","4","RZ-05","Sulfatos",37.5
2020-04-07,"2020","4","RZ-05","SAAM",1.22
2020-04-07,"2020","4","RZ-05","DBO",9.99
2020-04-07,"2020","4","RZ-05","DQO",43.79
2020-04-07,"2020","4","RZ-05","Grasas y aceites",9.9
2020-04-07,"2020","4","RZ-05","Fósforo total",3.74
2020-04-07,"2020","4","RZ-05","SST",9
2020-04-07,"2020","4","RZ-05","Sólidos disueltos tot.",337
2020-04-07,"2020","4","RZ-05","Sólidos sedimentables",0.1
2020-04-07,"2020","4","RZ-05","Sulfuros",0.37
2020-04-07,"2020","4","RZ-05","Aluminio",1.425
2020-04-07,"2020","4","RZ-05","Arsénico",0.0038
2020-04-07,"2020","4","RZ-05","Bario",0.223
2020-04-07,"2020","4","RZ-05","Cadmio",0.0005
2020-04-07,"2020","4","RZ-05","Cobre",0.05
2020-04-07,"2020","4","RZ-05","Cromo",0.05
2020-04-07,"2020","4","RZ-05","Fierro",1.131
2020-04-07,"2020","4","RZ-05","Manganeso",0.431
2020-04-07,"2020","4","RZ-05","Mercurio",0.0005
2020-04-07,"2020","4","RZ-05","Níquel",0.1
2020-04-07,"2020","4","RZ-05","Plomo",0.0051
2020-04-07,"2020","4","RZ-05","Sodio",47.9
2020-04-07,"2020","4","RZ-05","Zinc",0.025
2020-04-07,"2020","4","RZ-05","Coliformes totales",1200000
2020-04-07,"2020","4","RZ-05","Coliformes fecales",1200000
2020-04-07,"2020","4","RZ-05","Temp. ambiente",23
2020-04-07,"2020","4","RZ-05","Acidez total",12.6
2020-04-07,"2020","4","RZ-05","Dureza de calcio",72.1
2020-04-07,"2020","4","RZ-05","Sólidos totales",346
2020-04-07,"2020","4","RZ-05","Nitrógeno total",20.89
2020-04-07,"2020","4","RZ-04","Temperatura",17
2020-04-07,"2020","4","RZ-04","pH",8
2020-04-07,"2020","4","RZ-04","Oxígeno disuelto",7.01
2020-04-07,"2020","4","RZ-04","Conductividad",456
2020-04-07,"2020","4","RZ-04","Turbiedad",7.8
2020-04-07,"2020","4","RZ-04","Alcalinidad total",150.83
2020-04-07,"2020","4","RZ-04","Cloruros totales",20.41
2020-04-07,"2020","4","RZ-04","Dureza total",132.53
2020-04-07,"2020","4","RZ-04","Fluoruros",0.35
2020-04-07,"2020","4","RZ-04","Nitrógeno de nitratos",8.55
2020-04-07,"2020","4","RZ-04","Nitrógeno de nitritos",0.086
2020-04-07,"2020","4","RZ-04","Nitrógeno amoniacal",0.5
2020-04-07,"2020","4","RZ-04","Nitrógeno total Kjeldahl",1.05
2020-04-07,"2020","4","RZ-04","Sulfatos",24.52
2020-04-07,"2020","4","RZ-04","SAAM",0.18
2020-04-07,"2020","4","RZ-04","DBO",2.82
2020-04-07,"2020","4","RZ-04","DQO",22.63
2020-04-07,"2020","4","RZ-04","Grasas y aceites",7.22
2020-04-07,"2020","4","RZ-04","Fósforo total",1.59
2020-04-07,"2020","4","RZ-04","SST",11
2020-04-07,"2020","4","RZ-04","Sólidos disueltos tot.",321
2020-04-07,"2020","4","RZ-04","Sólidos sedimentables",0.1
2020-04-07,"2020","4","RZ-04","Sulfuros",0.53
2020-04-07,"2020","4","RZ-04","Aluminio",1.165
2020-04-07,"2020","4","RZ-04","Arsénico",0.0038
2020-04-07,"2020","4","RZ-04","Bario",0.128
2020-04-07,"2020","4","RZ-04","Cadmio",0.0005
2020-04-07,"2020","4","RZ-04","Cobre",0.05
2020-04-07,"2020","4","RZ-04","Cromo",0.05
2020-04-07,"2020","4","RZ-04","Fierro",0.72
2020-04-07,"2020","4","RZ-04","Manganeso",0.051
2020-04-07,"2020","4","RZ-04","Mercurio",0.0005
2020-04-07,"2020","4","RZ-04","Níquel",0.1
2020-04-07,"2020","4","RZ-04","Plomo",0.003
2020-04-07,"2020","4","RZ-04","Sodio",32.4
2020-04-07,"2020","4","RZ-04","Zinc",0.02
2020-04-07,"2020","4","RZ-04","Coliformes totales",46000
2020-04-07,"2020","4","RZ-04","Coliformes fecales",46000
2020-04-07,"2020","4","RZ-04","Temp. ambiente",23
2020-04-07,"2020","4","RZ-04","Acidez total",12.41
2020-04-07,"2020","4","RZ-04","Dureza de calcio",83.92
2020-04-07,"2020","4","RZ-04","Sólidos totales",332
2020-04-07,"2020","4","RZ-04","Nitrógeno total",9.69
2020-04-07,"2020","4","RZ-03","Temperatura",18
2020-04-07,"2020","4","RZ-03","pH",7.7
2020-04-07,"2020","4","RZ-03","Oxígeno disuelto",7.26
2020-04-07,"2020","4","RZ-03","Conductividad",581
2020-04-07,"2020","4","RZ-03","Turbiedad",7.5
2020-04-07,"2020","4","RZ-03","Alcalinidad total",249.49
2020-04-07,"2020","4","RZ-03","Cloruros totales",7.53
2020-04-07,"2020","4","RZ-03","Dureza total",145.33
2020-04-07,"2020","4","RZ-03","Fluoruros",0.36
2020-04-07,"2020","4","RZ-03","Nitrógeno de nitratos",0.19
2020-04-07,"2020","4","RZ-03","Nitrógeno de nitritos",0.103
2020-04-07,"2020","4","RZ-03","Nitrógeno amoniacal",4.08
2020-04-07,"2020","4","RZ-03","Nitrógeno total Kjeldahl",6.17
2020-04-07,"2020","4","RZ-03","Sulfatos",10
2020-04-07,"2020","4","RZ-03","SAAM",0.19
2020-04-07,"2020","4","RZ-03","DBO",3.8
2020-04-07,"2020","4","RZ-03","DQO",28.04
2020-04-07,"2020","4","RZ-03","Grasas y aceites",9.53
2020-04-07,"2020","4","RZ-03","Fósforo total",1.62
2020-04-07,"2020","4","RZ-03","SST",7
2020-04-07,"2020","4","RZ-03","Sólidos disueltos tot.",357
2020-04-07,"2020","4","RZ-03","Sólidos sedimentables",0.1
2020-04-07,"2020","4","RZ-03","Sulfuros",0.31
2020-04-07,"2020","4","RZ-03","Aluminio",1.215
2020-04-07,"2020","4","RZ-03","Arsénico",0.0025
2020-04-07,"2020","4","RZ-03","Bario",0.161
2020-04-07,"2020","4","RZ-03","Cadmio",0.0005
2020-04-07,"2020","4","RZ-03","Cobre",0.05
2020-04-07,"2020","4","RZ-03","Cromo",0.05
2020-04-07,"2020","4","RZ-03","Fierro",0.744
2020-04-07,"2020","4","RZ-03","Manganeso",0.696
2020-04-07,"2020","4","RZ-03","Mercurio",0.0005
2020-04-07,"2020","4","RZ-03","Níquel",0.1
2020-04-07,"2020","4","RZ-03","Plomo",0.0041
2020-04-07,"2020","4","RZ-03","Sodio",50.4
2020-04-07,"2020","4","RZ-03","Zinc",0.02
2020-04-07,"2020","4","RZ-03","Coliformes totales",930
2020-04-07,"2020","4","RZ-03","Coliformes fecales",930
2020-04-07,"2020","4","RZ-03","Temp. ambiente",27
2020-04-07,"2020","4","RZ-03","Acidez total",12.22
2020-04-07,"2020","4","RZ-03","Dureza de calcio",96.33
2020-04-07,"2020","4","RZ-03","Sólidos totales",357
2020-04-07,"2020","4","RZ-03","Nitrógeno total",6.46
2020-04-07,"2020","4","RZ-02","Temperatura",20
2020-04-07,"2020","4","RZ-02","pH",7.4
2020-04-07,"2020","4","RZ-02","Oxígeno disuelto",5.12
2020-04-07,"2020","4","RZ-02","Conductividad",989
2020-04-07,"2020","4","RZ-02","Turbiedad",31.5
2020-04-07,"2020","4","RZ-02","Alcalinidad total",390.17
2020-04-07,"2020","4","RZ-02","Cloruros totales",87.98
2020-04-07,"2020","4","RZ-02","Dureza total",223.5
2020-04-07,"2020","4","RZ-02","Fluoruros",1.61
2020-04-07,"2020","4","RZ-02","Nitrógeno de nitratos",0.27
2020-04-07,"2020","4","RZ-02","Nitrógeno de nitritos",0.015
2020-04-07,"2020","4","RZ-02","Nitrógeno amoniacal",0.5
2020-04-07,"2020","4","RZ-02","Nitrógeno total Kjeldahl",8.39
2020-04-07,"2020","4","RZ-02","Sulfatos",56.56
2020-04-07,"2020","4","RZ-02","SAAM",0.12
2020-04-07,"2020","4","RZ-02","DBO",17.01
2020-04-07,"2020","4","RZ-02","DQO",103.32
2020-04-07,"2020","4","RZ-02","Grasas y aceites",18.17
2020-04-07,"2020","4","RZ-02","Fósforo total",1.7
2020-04-07,"2020","4","RZ-02","SST",124
2020-04-07,"2020","4","RZ-02","Sólidos disueltos tot.",654
2020-04-07,"2020","4","RZ-02","Sólidos sedimentables",6.5
2020-04-07,"2020","4","RZ-02","Sulfuros",0.94
2020-04-07,"2020","4","RZ-02","Aluminio",4.69
2020-04-07,"2020","4","RZ-02","Arsénico",0.0038
2020-04-07,"2020","4","RZ-02","Bario",0.212
2020-04-07,"2020","4","RZ-02","Cadmio",0.00057
2020-04-07,"2020","4","RZ-02","Cobre",0.05
2020-04-07,"2020","4","RZ-02","Cromo",0.05
2020-04-07,"2020","4","RZ-02","Fierro",2.435
2020-04-07,"2020","4","RZ-02","Manganeso",0.172
2020-04-07,"2020","4","RZ-02","Mercurio",0.0005
