"idPuntoMuestreo","idParametro","unidad","valor","fecha","est_fijas"
"LC-04","Fluoruros","mg/l",0.8,2009-09-02,TRUE
"LC-04","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,TRUE
"LC-04","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,TRUE
"LC-04","Nitrógeno amoniacal","mg/l",1.19,2009-09-02,TRUE
"LC-04","Nitrógeno total Kjeldahl","mg/l",7.12,2009-09-02,TRUE
"LC-04","Sulfatos","mg/l",9.28,2009-09-02,TRUE
"LC-04","SAAM","mg/l",0.102,2009-09-02,TRUE
"LC-04","DBO Turbiedad","mg/l",23.76,2009-09-02,TRUE
"LC-04","DQO","mg/l",127.6,2009-09-02,TRUE
"LC-04","Grasas y aceites","mg/l",5.54,2009-09-02,TRUE
"LC-04","Fósforo total","mg/l",0.651,2009-09-02,TRUE
"LC-04","SST","mg/l",35,2009-09-02,TRUE
"LC-04","Sólidos disueltos tot.","mg/l",505,2009-09-02,TRUE
"LC-04","Sólidos sedimentables","ml/l",0.1,2009-09-02,TRUE
"LC-04","Sulfuros","mg/l",0.1,2009-09-02,TRUE
"LC-04","Aluminio","mg/l",0.01,2009-09-02,TRUE
"LC-04","Arsénico","mg/l",0.0025,2009-09-02,TRUE
"LC-04","Bario","mg/l",0.005,2009-09-02,TRUE
"LC-04","Cadmio","mg/l",5e-04,2009-09-02,TRUE
"LC-04","Cobre","mg/l",0.05,2009-09-02,TRUE
"LC-04","Cromo","mg/l",0.05,2009-09-02,TRUE
"LC-04","Fierro","mg/l",810,2009-09-02,TRUE
"LC-04","Manganeso","mg/l",,2009-09-02,TRUE
"LC-04","Mercurio","mg/l",50000,2009-09-02,TRUE
"LC-04","Níquel","mg/l",0.1,2009-09-02,TRUE
"LC-04","Plomo","mg/l",0.0025,2009-09-02,TRUE
"LC-04","Sodio","mg/l",,2009-09-02,TRUE
"LC-04","Zinc","mg/l",0.02,2009-09-02,TRUE
"LC-04","Coliformes totales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-04","Coliformes fecales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-04","Profundidad","m",3.47,2009-09-02,TRUE
"LC-04","Temp. ambiente","°C",,2009-09-02,TRUE
"LC-04","Transparencia Secchi","m",,2009-09-02,TRUE
"LC-04","Sólidos totales",,540,2009-09-02,TRUE
"LC-04","Nitrógeno total",,7.12,2009-09-02,TRUE
"LC-04","Clorofilas","mg/l",,2009-09-02,TRUE
"17","Temperatura","°C",25.7,2009-09-02,FALSE
"17","pH",,8.29,2009-09-02,FALSE
"17","Oxígeno disuelto","mg/l",7.5,2009-09-02,FALSE
"17","Conductividad","µS/cm",638,2009-09-02,FALSE
"17","Turbiedad","UNT",31.3,2009-09-02,FALSE
"17","Alcalinidad total","mg CaCOmg/l/l",366.57,2009-09-02,FALSE
"17","Cloruros totales","mg/l",57.6,2009-09-02,FALSE
"17","Dureza total","mg CaCOmg/l/l",113.91,2009-09-02,FALSE
"17","Fluoruros","mg/l",0.74,2009-09-02,FALSE
"17","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,FALSE
"17","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,FALSE
"17","Nitrógeno amoniacal","mg/l",1.19,2009-09-02,FALSE
"17","Nitrógeno total Kjeldahl","mg/l",7.72,2009-09-02,FALSE
"17","Sulfatos","mg/l",10.15,2009-09-02,FALSE
"17","SAAM","mg/l",0.118,2009-09-02,FALSE
"17","DBO Turbiedad","mg/l",22.2,2009-09-02,FALSE
"17","DQO","mg/l",122.8,2009-09-02,FALSE
"17","Grasas y aceites","mg/l",2.95,2009-09-02,FALSE
"17","Fósforo total","mg/l",0.618,2009-09-02,FALSE
"17","SST","mg/l",17,2009-09-02,FALSE
"17","Sólidos disueltos tot.","mg/l",513,2009-09-02,FALSE
"17","Sólidos sedimentables","ml/l",0.1,2009-09-02,FALSE
"17","Sulfuros","mg/l",0.1,2009-09-02,FALSE
"17","Aluminio","mg/l",0.01,2009-09-02,FALSE
"17","Arsénico","mg/l",0.0025,2009-09-02,FALSE
"17","Bario","mg/l",0.005,2009-09-02,FALSE
"17","Cadmio","mg/l",5e-04,2009-09-02,FALSE
"17","Cobre","mg/l",0.05,2009-09-02,FALSE
"17","Cromo","mg/l",0.05,2009-09-02,FALSE
"17","Fierro","mg/l",0.187,2009-09-02,FALSE
"17","Manganeso","mg/l",,2009-09-02,FALSE
"17","Mercurio","mg/l",60000,2009-09-02,FALSE
"17","Níquel","mg/l",0.1,2009-09-02,FALSE
"17","Plomo","mg/l",0.0025,2009-09-02,FALSE
"17","Sodio","mg/l",,2009-09-02,FALSE
"17","Zinc","mg/l",0.02,2009-09-02,FALSE
"17","Coliformes totales","NMP/mg/l0ml",40000,2009-09-02,FALSE
"17","Coliformes fecales","NMP/mg/l0ml",40000,2009-09-02,FALSE
"17","Profundidad","m",3.47,2009-09-02,FALSE
"17","Temp. ambiente","°C",,2009-09-02,FALSE
"17","Transparencia Secchi","m",,2009-09-02,FALSE
"17","Sólidos totales",,530,2009-09-02,FALSE
"17","Nitrógeno total",,7.72,2009-09-02,FALSE
"17","Clorofilas","mg/l",,2009-09-02,FALSE
"18","Temperatura","°C",24.3,2009-09-02,FALSE
"18","pH",,8.03,2009-09-02,FALSE
"18","Oxígeno disuelto","mg/l",9.67,2009-09-02,FALSE
"18","Conductividad","µS/cm",567,2009-09-02,FALSE
"18","Turbiedad","UNT",27.4,2009-09-02,FALSE
"18","Alcalinidad total","mg CaCOmg/l/l",320.75,2009-09-02,FALSE
"18","Cloruros totales","mg/l",55.83,2009-09-02,FALSE
"18","Dureza total","mg CaCOmg/l/l",119.8,2009-09-02,FALSE
"18","Fluoruros","mg/l",0.71,2009-09-02,FALSE
"18","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,FALSE
"18","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,FALSE
"18","Nitrógeno amoniacal","mg/l",1.78,2009-09-02,FALSE
"18","Nitrógeno total Kjeldahl","mg/l",11.28,2009-09-02,FALSE
"18","Sulfatos","mg/l",9.47,2009-09-02,FALSE
"18","SAAM","mg/l",560,2009-09-02,FALSE
"18","DBO Turbiedad","mg/l",25.92,2009-09-02,FALSE
"18","DQO","mg/l",113.59,2009-09-02,FALSE
"18","Grasas y aceites","mg/l",9.78,2009-09-02,FALSE
"18","Fósforo total","mg/l",640,2009-09-02,FALSE
"18","SST","mg/l",30,2009-09-02,FALSE
"18","Sólidos disueltos tot.","mg/l",454,2009-09-02,FALSE
"18","Sólidos sedimentables","ml/l",0.1,2009-09-02,FALSE
