"Variable","N","Media","D.E.","Min","Max","C.V."
"2015","54","1.4","0.8","0.51","4.6","57"
"2014","35","1.9","1.3","0.66","5.2","68"
"2016","28","1.7","0.98","0.43","4","58"
"2017","40","1.6","0.9","0.37","4.2","57"
"2018","48","1.5","0.92","0.58","5.4","60"
"2019","64","1.9","1.1","0.3","6.2","57"
"2020","6","1.8","0.98","1.1","3.8","54"
"2021","51","1.8","1.1","0.3","4.5","62"
"2022","72","1.6","0.95","0.32","4.9","59"
