"Variable","N","Media","D.E.","Min","Max","C.V."
"2015","54","29222","79059","3","460000","271"
"2014","35","132052","266080","40","1100000","201"
"2016","36","21593","77980","3","460000","361"
"2017","39","447421","1890297","3","11000000","422"
"2018","48","6962","15074","3","75000","217"
"2019","64","22905","137640","40","1100000","601"
"2020","6","177","151","40","430","86"
"2021","51","358624","1662147","9","11000000","463"
"2022","72","33361","91868","9","460000","275"
