"Variable","N","Media","D.E.","Min","Max","C.V."
"2015","54","41","31","8.5","195","75"
"2014","35","24","17","7.7","67","73"
"2016","36","41","20","13","103","49"
"2017","40","36","22","14","101","62"
"2018","48","42","21","10","96","51"
"2019","64","44","25","17","179","56"
"2020","6","53","14","34","75","27"
"2021","51","39","22","9.7","102","56"
"2022","72","49","22","15","107","46"
