"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
27.86,7.87,7.62,2.62,0.155,1.49,2.23,31.34,8.37,0.49,75,263,0.1,4.184,0.0025,0.005,0.0005,0.05,0.05,4.718,0.076,0.00136,0.1,0.0025,10,0.091,240000,240000,338,4.265,270,70,95,12,72,0.45,0.5,23.34,0.019,0.4,34,,,2010-08-17,"2010","8","RS-10"
26.6,7.64,0.85,0.1,0.011,11.17,40.08,119.8,20.29,3,37,675,0.1,0.807,0.0025,0.005,0.0005,0.05,0.05,1.151,0.476,0.0005,0.1,0.0025,55.8,0.1,,,712,11.181,981,30,358,58,268,1.01,0.5,132.4,1.877,0.6,27,,,2010-08-17,"2010","8","AA-01"
25.7,7.37,1.56,0.61,0.24,1.49,15.24,50.93,6.84,2,38,406,0.3,0.759,0.0025,0.005,0.0005,0.05,0.05,0.951,0.351,0.00067,0.1,0.0025,28.7,0.093,460000,460000,444,2.34,561,45,237,63,146,0.66,0.5,56.19,1.452,6.56,25,,,2010-08-17,"2010","8","AA-02"
22,7.36,2.01,6.16,0.207,2.32,5.16,53.1,8.37,0.62,250,218,0.1,8.009,0.0025,0.005,0.0005,0.05,0.05,12.672,0.225,0.00069,0.1,0.0025,10,0.064,93000,43000,468,8.687,213,210,63,12,264,0.25,0.5,20.08,0.019,0.1,20,,,2010-08-17,"2010","8","RZ-01"
22.3,7.2,0.44,0.1,0.022,0.28,11.4,63.72,8.37,1,37,287,0.1,0.752,0.0025,0.005,0.0005,0.05,0.05,1.414,0.231,0.0005,0.1,0.0025,13.808,0.02,460000,460000,324,0.28,436,31,139.32,28.34,152.8,0.26,0.56,51.56,0.019,6.96,23,,,2010-09-28,"2010","9","RS-01"
24.2,7.28,3.21,0.54,0.022,1.41,4.74,54.13,6.67,0.98,22,255,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.672,0.24,0.0005,0.1,0.0025,18.307,0.058,46000,46000,277,1.95,418,18,154.8,20.49,121.52,0.29,0.56,29.82,0.019,2.78,29,,,2010-09-28,"2010","9","RS-02"
24.5,7.44,3.26,1.45,0.034,1.69,2.86,55.92,21.38,1.07,50,347,0.1,0.752,0.0025,0.005,0.0005,0.05,0.05,0.818,0.223,0.0005,0.1,0.0025,27.586,0.198,46000,24000,397,3.174,516,26,170.28,31.39,135.24,0.29,0.56,43.75,0.019,2.38,29,,,2010-09-28,"2010","9","RS-03"
25.9,7.51,2.29,0.74,0.01,5.09,9.18,59.82,32.77,1.91,37,417,0.1,1.125,0.0025,0.005,0.0005,0.05,0.05,0.927,0.3,0.0005,0.1,0.0025,41.739,0.057,2100000,2100000,454,5.84,657,40,227.04,35.32,170.52,0.56,1.69,53.79,1.294,5.57,30,,,2010-09-28,"2010","9","RS-04"
24.4,7.6,1.76,1.44,0.217,7.07,8.46,63.72,8.37,1.25,45,427,0.1,1.125,0.0025,0.005,0.0005,0.05,0.05,0.967,0.348,0.0005,0.1,0.0025,40.896,0.118,2400000,2400000,472,8.727,666,28,232.2,40.98,148.96,0.75,3.39,49.37,0.553,2.98,33,,,2010-09-28,"2010","9","RS-05"
25.9,8.13,6.78,4.33,0.34,1.69,7.05,63.72,8.37,0.99,31,291,0.1,1.125,0.0025,0.005,0.0005,0.05,0.05,1.304,0.15,0.0005,0.1,0.0025,20.276,0.02,240000,24000,322,6.36,410,33,149.64,22.24,107.8,0.4,1.13,31.67,0.133,2.58,29,,,2010-09-28,"2010","9","RS-06"
23.8,7.6,5.06,1.36,0.279,7.92,32.7,127.69,11.18,1.22,162,360,1.3,3.55,0.0025,0.005,0.0005,0.05,0.05,2.616,0.142,0.00091,0.1,0.0025,43.622,0.191,11000,11000,522,9.559,569,90,185.76,36.62,111.72,0.74,3.39,39.88,0.503,3.58,23.7,,,2010-09-28,"2010","9","RS-07"
24.6,7.54,4.31,2.1,0.471,7.35,33,105.65,12.08,1.46,134,349,2,3.55,0.0025,0.005,0.0005,0.05,0.05,2.695,0.125,0.00055,0.1,0.0025,43.522,0.158,,,483,9.921,544,85,170.28,34.01,107.8,0.67,3.68,44.36,0.634,3.18,26.9,,,2010-09-28,"2010","9","RS-08"
26.3,7.36,3.55,1.74,0.327,2.82,3.96,58.81,27.84,0.85,30,282,0.1,1.312,0.0025,0.005,0.0005,0.05,0.05,0.982,0.073,0.00047,0.1,0.0025,26.702,0.106,24000,24000,312,4.887,377,30,123.84,20.06,82.32,0.62,1.98,29.29,0.22,1.39,38.1,,,2010-09-28,"2010","9","RS-09"
28.5,8.1,7.51,1.83,0.192,1.69,3.96,62.72,8.37,0.6,18,305,0.1,1.498,0.0025,0.005,0.0005,0.05,0.05,1.1,0.075,0.0005,0.1,0.0025,26.601,0.074,15000,15000,323,3.712,372,33,134.16,20.06,86.24,0.53,0.56,28.05,0.16,0.1,32.9,,,2010-09-28,"2010","9","RS-10"
26,7.56,0.65,0.1,0.022,13.08,46.08,163.02,5.74,1.3,63,561,0.4,0.752,0.0025,0.005,0.0005,0.05,0.05,0.645,0.375,0.0005,0.1,0.0025,48.863,0.063,,11000000,624,13.08,893,39,304.44,44.04,105.84,0.89,5.01,82.83,2.406,3.38,30,,,2010-09-28,"2010","9","AA-01"
27,7.44,0.51,0.1,0.022,11.69,47.8,170.43,24.99,1.22,47,577,0.4,0.752,0.0025,0.005,0.0005,0.05,0.05,0.496,0.369,0.0005,0.1,0.0025,60.391,0.078,2400000,2400000,624,11.69,918,66,335.4,54.5,192.08,0.91,4.17,70.76,4.615,1.59,32.5,,,2010-09-28,"2010","9","AA-02"
22.7,7.3,2.1,1.85,0.091,1.11,1.95,59.9,8.37,0.33,14,193,0.1,0.566,0.0025,0.005,0.0005,0.05,0.05,1.402,0.366,0.0005,0.1,0.0025,17.464,0.083,24000,24000,207,3.051,247,24,118.65,9.16,92.12,0.59,0.27,11.04,0.157,1.79,29,,,2010-09-28,"2010","9","RZ-01"
19.3,7.26,1.21,0.1,0.022,3.41,13.53,43.71,8.37,0.54,13,337,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.676,1.116,0.0005,0.1,0.0025,28.4,0.103,460000,93000,350,3.41,479,8.9,173,28.71,168,0.32,0.99,53.41,0.435,6.4,18,,,2010-10-26,"2010","10","RS-01"
19.1,6.83,1.35,0.1,0.022,1.36,2.82,31.26,8.37,0.37,6,304,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.264,0.094,0.0005,0.1,0.0025,31.9,0.028,930,430,310,1.36,416,2.6,173,23.92,131,0.27,0.5,26.51,0.348,1,21,,,2010-10-26,"2010","10","RS-02"
24.2,7.91,10.63,0.1,0.022,4.1,9.15,43.71,21.89,0.98,38,445,0.1,1.543,0.0025,0.005,0.0005,0.056,0.05,1.524,0.137,0.0005,0.1,0.0025,59,0.074,230,40,483,4.1,616,29,217,49,157,0.42,0.5,53.35,0.209,0.8,27,,,2010-10-26,"2010","10","RS-03"
21.4,7.83,0.43,0.1,0.014,17.07,30.54,127.11,5.1,1.93,18,755,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.303,0.441,0.0005,0.1,0.0025,121,0.04,43000,15000,773,17.084,1199,85,462,81.8,249,1.21,3.95,59.91,7.32,2.2,29,,,2010-10-26,"2010","10","RS-04"
28.7,7.78,2.23,0.1,0.022,14.34,13.62,203.21,8.37,1.32,14,659,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.36,0.433,0.0005,0.1,0.0025,99.1,0.034,240000,240000,673,14.34,986,12,382,66,206,1.01,2.3,65.4,1.289,1.6,32,,,2010-10-26,"2010","10","RS-05"
21.9,8.1,6.15,4.19,0.457,9.54,15.72,69.74,8.37,3.71,8,545,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.398,0.18,0.0005,0.1,0.0025,80.1,0.143,240000,15000,553,14.187,783,6.3,219,55,25,0.72,1.97,63.27,0.587,0.1,30,,,2010-10-26,"2010","10","RS-06"
21.7,7.49,0.05,0.32,0.022,0.5,240,469,44.77,4.99,155,806,0.5,1.436,0.0025,0.005,0.022,0.135,0.133,1.064,0.134,0.0012,0.106,0.0025,121.718,0.414,24000000,24000000,961,0.32,1215,120,368,107.67,178,1.03,0.5,89.21,9.22,2.4,16,,,2010-10-26,"2010","10","RS-07"
21,7.52,2.61,0.1,0.012,12.73,52.2,124.38,7.52,4.15,34,639,0.1,0.634,0.0025,0.005,0.0195,0.063,0.05,0.528,0.143,0.00069,0.1,0.0025,93.126,0.154,4600000,4600000,673,12.742,912,35,378,70.82,163,1.18,4.52,76.43,3.33,1,20,,,2010-10-26,"2010","10","RS-08"
26.5,7.63,3.54,0.1,0.018,3.68,6.24,35.65,8.37,1.67,3,377,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.398,0.239,0.0005,0.1,0.0025,48.408,0.014,230,40,380,3.698,537,4.7,206,34,129,0.79,1.98,38.19,0.74,0.1,28,,,2010-10-26,"2010","10","RS-09"
27.6,8.64,10.1,3.21,0.03,0.5,2.82,28.33,5.46,1.32,1,367,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.188,0.024,0.0005,0.1,0.0025,42.575,0.023,230,90,368,3.24,471,2.6,159,31,104,0.76,0.5,40.48,0.24,0.2,33,,,2010-10-26,"2010","10","RS-10"
24.5,7.58,,0.1,0.044,29.61,90,287.5,8.26,5.2,30,1042,0.1,0.58,0.0025,0.005,0.0005,0.05,0.05,1.208,0.543,0.0005,0.1,0.0025,198.5,0.236,11000000,280000,1072,29.654,1281,26,481,175.15,235,2.77,11.84,125.21,5.16,4.2,30,,,2010-10-26,"2010","10","AA-01"
22.7,8.08,0.02,0.1,0.022,38.82,146.1,284.7,27.25,2.7,115,796,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.446,0.336,0.0005,0.1,0.0025,120.1,0.109,24000000,9300000,911,38.82,1605,28,499,82.31,278,1.04,12.83,77.86,10.21,1,29,,,2010-10-26,"2010","10","AA-02"
19.3,7.01,1.35,0.1,0.022,3.95,10.23,36.39,8.37,0.56,26,234,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.571,0.406,0.0005,0.1,0.0025,20.6,0.068,9300000,2400000,260,3.95,329,8.5,151,14.3,118,0.27,0.66,13.6,0.576,1,18,,,2010-10-26,"2010","10","RZ-01"
15.4,6.97,0.67,0.1,0.022,4.28,21.24,81.063,8,1.42,9,572,0.1,0.077,0.0025,0.005,0.0005,0.05,0.05,0.164,0.111,0.0008,0.1,0.0025,69.7,0.02,93000,23000,581,4.28,792,19,264,62,229,0.8027,1.32,81.41,0.291,3.8,5,,,2010-11-17,"2010","11","RS-01"
13.6,6.9,2.42,0.1,0.022,1.64,1.47,18.09,13.26,0.99,17,429,0.1,0.2122,0.0025,0.005,0.0005,0.05,0.05,0.367,0.101,0.00094,0.1,0.0025,55.4,0.02,2400,230,446,1.64,602,5.5,237,41,192,0.6058,0.5,50.75,0.189,0.1,7,,,2010-11-17,"2010","11","RS-02"
15,7.47,5.89,0.27,0.022,2.63,7.74,58.818,8,1.23,31,514,0.1,0.5173,0.0025,0.005,0.0005,0.05,0.05,0.495,0.091,0.00061,0.1,0.0025,80.9,0.02,24000,9300,545,2.9,707,16,276,57,188,0.6221,0.5,60.73,0.22,0.4,11.5,,,2010-11-17,"2010","11","RS-03"
15.8,7.6,0.65,0.25,0.022,24.35,40.44,116.97,7.37,6.86,13,833,0.1,0.1048,0.0025,0.005,0.0005,0.05,0.05,0.202,0.396,0.00091,0.1,0.0025,131,0.02,4600000,1500000,846,24.6,1235,55,516,90,235,1.212,4.93,75.6,4.88,9,18,,,2010-11-17,"2010","11","RS-04"
17.4,7.71,0.94,0.84,0.98,21.38,11.77,121.26,8.37,5.71,25,744,0.1,0.11,0.0025,0.005,0.0005,0.05,0.05,0.196,0.387,0.00099,0.1,0.0025,124.9,0.02,930000,90000,769,23.2,1122,7.4,470,83,235,0.8542,0.5,50.27,0.495,0.1,22,,,2010-11-17,"2010","11","RS-05"
18,8.21,8.04,3.17,0.56,13.49,18.84,49.061,8.37,4.42,13,762,0.1,0.0735,0.0025,0.005,0.0005,0.05,0.05,0.164,0.185,0.00103,0.1,0.0025,120,0.02,43000,43000,775,17.22,1154,5.4,376,83,225,1.1069,0.5,71.38,0.417,0.1,27.5,,,2010-11-17,"2010","11","RS-06"
15.4,7.8,7.52,1.82,0.491,14.48,28.2,99.405,8.37,4.37,54,580,0.5,0.3581,0.0087,0.005,0.0005,0.05,0.05,0.351,0.244,0.00059,0.1,0.0025,89.1,0.02,930000,930000,634,16.791,861,20,307,60,178,0.9791,4.61,60.94,1.53,4.76,14.5,,,2010-11-17,"2010","11","RS-07"
19.5,7.58,2.15,0.1,0.051,23.34,55.44,164.97,8.37,3.32,53,653,0.1,0.5629,0.014,0.005,0.0005,0.05,0.05,0.5,0.17,0.00069,0.1,0.0025,108.6,0.109,11000000,150000,706,23.391,955,35,324,74,167,1.2332,15.46,75.567,5.42,0.1,21.3,,,2010-11-17,"2010","11","RS-08"
23.2,7.52,3.05,1.4,0.022,8.55,6.66,27.14,8.37,1.68,13,384,0.1,0.049,0.0054,0.005,0.0005,0.05,0.05,0.148,0.15,0.00104,0.1,0.0025,56.5,0.02,4300,4300,397,9.95,564,11,196,38,119,0.6778,1.97,43.01,1.06,0.1,25.6,,,2010-11-17,"2010","11","RS-09"
24.5,8.16,8.38,3.15,0.591,5.26,4.66,24.88,8.37,1.53,25,386,0.1,0.1348,0.0117,0.005,0.0005,0.05,0.05,0.212,0.155,0.0005,0.1,0.0025,53.1,0.02,2400,2400,411,9.001,518,9,163,35,114,0.6969,0.99,34.2,0.167,0.1,30,,,2010-11-17,"2010","11","RS-10"
15.4,7.46,0.8,0.4,0.022,45.4,287.4,457.27,38.03,5.33,124,935,0.3,2.8743,0.0025,0.005,0.0005,0.224,0.05,0.41,0.254,0.00146,0.1,0.0025,154.1,0.122,46000000,46000000,1059,45.8,1434,170,529,103,257,1.3115,1.32,101.96,10.77,4,7,,,2010-11-17,"2010","11","AA-01"
15.6,7.6,0.16,0.1,0.026,35.2,74.2,131.02,8.24,4.77,22,944,0.1,0.2736,0.0025,0.005,0.0005,0.05,0.05,0.287,0.48,0.00128,0.1,0.0025,148.3,0.02,430000,90000,966,35.226,1385,80,645,102,278,1.4357,0.5,64.67,5.77,8,20,,,2010-11-17,"2010","11","AA-02"
16.1,7.14,0.27,0.1,0.022,15.46,49.4,69.745,8.37,0.32,2,417,0.1,0.0637,0.0025,0.005,0.0005,0.05,0.05,0.298,0.17,0.00104,0.1,0.0025,52,0.02,2400000,150000,419,15.46,565,13,252,33,157,0.8345,4.28,48.09,0.899,8.2,5.8,,,2010-11-17,"2010","11","RZ-01"
21.8,8.22,3.01,0.29,0.022,3.02,4.5,38.65,8.37,0.9,47,598,0.1,2.5677,0.0192,0.1505,0.0005,0.05,0.05,1.682,0.074,0.00069,0.1,0.0025,70.29,0.02,21000,7500,645,3.31,825.6,60,308.9,46.9,216.21,1,0.5,74.32,0.019,0.39,21.5,,,2011-03-01,"2011","3","RS-01"
20.7,7.28,0.87,0.1,0.022,2.06,1.26,32.34,8.37,1.09,1,551,0.1,0.2468,0.013,0.1155,0.0005,0.05,0.05,0.197,0.143,0.0005,0.1,0.0117,73.24,0.02,9300,9300,552,2.06,879,3.4,326.24,51.59,223.33,1.05,0.5,89.31,0.255,0.1,29.2,,,2011-03-01,"2011","3","RS-02"
22.7,7.28,2.3,0.52,0.08,3.02,1.26,37.86,8.37,1.27,5,761,0.1,0.1862,0.0119,0.0989,0.0005,0.05,0.05,0.104,0.159,0.0005,0.1,0.0025,117.98,0.02,2400,2400,766,3.62,1145,3.2,353,89.87,263.29,1,0.5,136.89,0.259,0.1,30.4,,,2011-03-01,"2011","3","RS-03"
20.5,7.55,,0.17,0.022,20.47,38.62,66.81,7.01,4.79,7,864,0.1,0.3386,0.0105,0.0725,0.0005,0.05,0.05,0.148,0.273,0.0005,0.1,0.0119,126.05,0.02,240000,240000,871,20.64,1304,95,514.14,90.35,273.78,1.03,14.17,116.81,3.616,20.99,31.4,,,2011-03-01,"2011","3","RS-04"
20.6,7.6,2.31,0.42,0.04,15.66,8.61,58.37,8.37,3.61,14,834,0.1,0.3038,0.0112,0.0781,0.0005,0.05,0.05,0.173,0.216,0.00108,0.1,0.0025,104.58,0.02,43000,43000,848,16.12,1247,5.5,427.4,88.44,273.78,1.03,9.65,114.58,1.99,0.1,31.7,,,2011-03-01,"2011","3","RS-05"
21.9,8.1,7.38,1.68,0.68,14.91,9.09,60.73,5.04,4.48,16,833,0.1,0.1148,0.0114,0.073,0.0005,0.05,0.05,0.12,0.219,0.0005,0.1,0.0067,104.36,0.02,21000,21000,849,17.27,1246,5.4,439.52,91.55,263.1,1.22,9.34,112.92,0.61,0.1,30.6,,,2011-03-01,"2011","3","RS-06"
19.8,8.7,5.6,1.8,0.54,18.62,34.08,92.79,8.37,3.68,147,725,0.4,2.2816,0.01111,0.3093,0.0005,0.05,0.05,2.424,0.538,0.00061,0.1,0.017,115.45,0.089,2400000,2400000,872,20.96,1186,60,386.85,87.14,230.46,1.16,10.46,123.93,2.23,0.1,23.46,,,2011-03-01,"2011","3","RS-07"
23.4,7.73,2.84,0.42,0.05,23.57,54,154.33,14.61,3.84,378,664,3,12.0924,0.0113,0.2722,0.00127,0.05,0.05,5.871,1.07,0.00067,0.13,0.024,119.53,0.148,210000,210000,1042,24.04,1223,170,405.25,97.1,232.04,1.08,17.82,123.54,2.7,0.39,32.93,,,2011-03-01,"2011","3","RS-08"
22.2,7.31,3.132,0.5,0.022,11.94,9.6,33.74,6.29,3.02,11,540,0.1,0.8457,0.0081,0.2077,0.0005,0.05,0.05,0.194,0.243,0.00056,0.1,0.0025,78.91,0.02,230,90,551,12.44,808.6,23,278.59,54.41,156.27,0.92,7.73,69.23,0.78,0.79,33.7,,,2011-03-01,"2011","3","RS-09"
24.5,7.76,6.4,0.61,0.62,8.41,22.74,32.16,7.04,0.98,13,495,0.1,0.7534,0.0114,0.3804,0.0005,0.05,0.05,0.077,0.05,0.0005,0.1,0.0025,71.51,0.02,1500,1500,508,9.64,744,4,321.25,52.21,149.15,0.93,3.89,71.47,0.3,0.1,36.1,,,2011-03-01,"2011","3","RS-10"
26.4,7.43,,0.29,0.022,48.64,234.5,412.52,5.04,7.22,148,1042,0.2,0.8389,0.0084,0.0721,0.0005,0.05,0.05,0.314,0.254,0.00137,0.1,0.0034,128.2,0.02,2100000,1500000,1190,48.93,1672,36,596.9,148.93,293.16,1.27,33.41,116.34,13.1,29.41,33,,,2011-03-01,"2011","3","AA-01"
23.3,7.6,,0.26,0.022,43.18,114.6,203.9,14.03,8.51,61.82,1040,0.1,1.0229,0.0082,0.0672,0.0005,0.05,0.05,0.338,0.317,0.00056,0.1,0.0075,132.52,0.02,240000,240000,1101.82,43.44,1569,120,666.71,104.71,266.26,0.2,32.61,87,16.3,34.93,32.1,,,2011-03-01,"2011","3","AA-02"
22.5,7.9,0.23,0.14,0.022,2.1,5.62,39.44,8.37,0.92,35,185,0.1,0.7533,0.0167,0.1207,0.0005,0.05,0.05,0.641,0.074,0.0005,0.1,0.0025,65.75,0.02,150000,150000,220,2.24,840,29,321.23,48.52,219.18,1.08,0.5,74.32,0.33,0.99,23.7,,,2011-03-01,"2011","3","RZ-01"
24.1,8.58,5.22,0.21,0.022,2.23,1.26,41.96,8.37,0.81,774,588,0.1,4.7995,0.0115,0.0165,0.0005,0.05,0.05,1.209,0.056,0.00129,0.1,0.0043,87.62,0.032,9300,9300,1362,2.44,873,65,312.79,51.38,222.55,1.16,1.85,84.54,0.019,0.39,25.1,,,2011-04-05,"2011","4","RS-01"
22,7.32,1.7,0.13,0.022,2.91,1.26,28.06,8.37,1.12,15,613,0.1,0.0715,0.0082,0.0254,0.0005,0.05,0.05,0.113,0.139,0.00095,0.1,0.0025,94.34,0.023,4300,4300,628,3.04,917.6,4.9,327.92,56.98,224.72,1.12,2.54,79.02,0.174,3.55,27.5,,,2011-04-05,"2011","4","RS-02"
22.3,7.39,2.3,0.2,0.022,2.1,1.26,42.74,8.37,1.29,31,738,0.1,0.0996,0.0091,0.0168,0.0005,0.05,0.05,0.131,0.143,0.0005,0.1,0.0025,124.74,0.023,930,930,769,2.3,1096,4.3,343.06,78.1,244.31,1.28,1.85,125.58,0.2,1.97,31,,,2011-04-05,"2011","4","RS-03"
22.2,7.53,3.54,0.17,0.022,6.06,6.02,48.92,8.37,2.13,13,723,0.1,0.1588,0.0088,0.0242,0.0005,0.05,0.05,0.113,0.172,0.0005,0.1,0.0025,123.44,0.032,210000,210000,736,6.23,1111,4.6,368.28,74.57,246.88,1.17,4.21,116.82,1.2,1.97,31.1,,,2011-04-05,"2011","4","RS-04"
23,7.81,3,0.47,0.43,5.38,12.67,67.21,8.37,2.11,20,746,0.1,0.2408,0.0078,0.0237,0.0005,0.05,0.05,0.104,0.117,0.0005,0.1,0.0045,122.26,0.038,75000,43000,766,6.28,1100,4.3,353.15,78.3,242.33,1.29,4.45,118.75,0.29,1.38,33.8,,,2011-04-05,"2011","4","RS-05"
23.4,8.42,8.4,2.2,0.32,5.35,13.27,57.46,8.37,2.11,2,779,0.1,0.1769,0.0076,0.0162,0.0005,0.05,0.05,0.237,0.133,0.0005,0.1,0.0025,126.86,0.032,2400,2400,781,7.87,1118,8.4,353.15,80.97,249.43,1.16,1.98,120.28,0.24,0.99,33.2,,,2011-04-05,"2011","4","RS-06"
23.1,7.64,0.14,0.5,0.022,43.34,229.5,514.4,35.35,9.8,237.5,744.5,0.1,1.7058,0.0032,0.013,0.01067,0.05,0.082,0.552,0.104,0.00138,0.101,0.0079,159.62,0.21,240000,240000,982,43.84,1417,110,414.05,121.7,212.85,1.45,25.75,92.08,4.7,8.29,23.9,,,2011-04-05,"2011","4","RS-07"
25.7,7.79,2.24,0.25,0.022,28.74,55.44,227.84,6.38,6.31,93,791,0.4,1.9342,0.0094,0.0117,0.00275,0.05,0.05,0.891,0.204,0.00103,0.1,0.005,143.71,0.127,240000,240000,884,28.99,1287,50,413.69,100.93,222.94,1.13,15.9,116.98,1.75,3.35,34.4,,,2011-04-05,"2011","4","RS-08"
23.8,7.67,3.99,0.2,0.02,18.47,20.7,87.87,8.37,4.47,16,573,0.1,0.2221,0.0047,0.0164,0.0005,0.05,0.05,0.104,0.297,0.0005,0.1,0.0025,99.76,0.029,930,930,589,18.69,951,50,322.88,64.56,178.43,1.17,10.08,68.78,0.8,2.56,37.4,,,2011-04-05,"2011","4","RS-09"
26.6,8.18,9.33,2.8,0.84,11.48,9.78,38.1,8.37,4.2,38,536,0.1,1.7184,0.0059,0.0124,0.0005,0.05,0.05,0.095,0.086,0.0005,0.1,0.0025,93.04,0.021,43000,23000,574,15.12,863,6.4,267.38,60.11,167.75,1.18,4.45,72.98,0.186,1.58,37.4,,,2011-04-05,"2011","4","RS-10"
27.4,7.4,0.04,0.26,0.022,44.15,260.5,490.23,24.74,10.77,317,776,0.2,2.0434,0.0066,0.0139,0.0005,0.05,0.05,0.603,0.262,0.00151,0.1,0.0051,160.91,0.129,1500000,1500000,1093,44.41,1576,75,590.26,114.05,272.59,1.43,22.89,77.81,13.16,38.09,35.3,,,2011-04-05,"2011","4","AA-01"
24.1,8.01,0.01,0.25,0.022,45.2,74.5,218.48,8.37,11.93,63,1196,0.1,1.2294,0.0073,0.0133,0.0005,0.05,0.05,0.301,0.465,0.0005,0.1,0.0025,200.9,0.043,930000,930000,1259,45.45,1978,110,106.3,178.77,297.49,1.89,23.57,123.02,12.74,22.56,31.3,,,2011-04-05,"2011","4","AA-02"
23.8,8.12,1.84,0.17,0.022,4.11,1.26,43.51,8.37,0.83,45,598,0.1,2.3274,0.0014,0.0138,0.0005,0.05,0.05,1.404,0.05,0.0005,0.1,0.0025,92.22,0.086,43000,43000,643,4.28,885,40,317.83,51.86,211.25,1.2,1.79,86.06,0.019,2.17,22.2,,,2011-04-05,"2011","4","RZ-01"
25.5,7.82,0.58,0.25,0.01,4.08,6.7,56.68,8.37,1.98,40,604,0.1,1.906,0.014,0.0124,0.0005,0.05,0.05,0.937,0.085,0.0005,,0.0042,90.45,,1100000,9000,644,7.3,917.6,30,348.1,53.65,229.27,0.99,1.67,78.86,0.43,3.75,32,,,2011-05-03,"2011","5","RS-01"
22.6,7.22,0.73,0.23,0.022,3.96,7.72,37.9,8.37,1.18,30,626,0.1,0.6024,0.0131,0.181,0.0005,0.05,0.05,0.154,0.11,0.0005,0.1,0.0025,107.53,0.07,24000,9300,656,3.698,987,11,373.33,68.1,239.36,0.95,1.67,86.49,0.32,5.72,34.3,,,2011-05-03,"2011","5","RS-02"
24.1,7.33,0.94,0.23,0.01,4.64,1.26,56.22,8.37,1.41,63,680,1.5,6.6325,0.0107,0.143,0.0005,0.05,0.05,0.314,0.152,0.0005,0.1,0.0025,122.62,0.02,2400,,743,2.66,1028,8.9,438.9,77.96,237.98,1.17,2.66,85.22,0.21,5.52,36.3,,,2011-05-03,"2011","5","RS-03"
24.3,7.7,,0.28,0.24,13.12,17.06,78.91,8.37,3.99,22,758,0.1,2.2622,0.0124,0.0143,0.0005,0.05,0.05,0.173,0.204,0.0005,0.1,0.0025,136.76,0.02,1100000,210000,780,23.674,1170,55,438.9,83.32,259.34,1.27,6.9,75.22,3.24,0.79,35.1,,,2011-05-03,"2011","5","RS-04"
23.8,7.8,1.03,0.53,0.11,13.3,25.26,94.11,8.37,4.56,424,746,5.4,9.4219,0.013,0.0123,0.0005,0.05,0.05,2.227,0.3,0.0005,0.1,0.0029,130.16,0.054,93000,43000,1170,12.31,1176,130,423.78,83.56,252.02,1.25,6.68,87.41,0.91,3.16,34.6,,,2011-05-03,"2011","5","RS-05"
25.7,8.43,5.77,0.49,0.59,10.64,13.86,56.68,8.37,4.43,31,771,0.1,3.2521,0.0113,0.0135,0.0005,0.05,0.05,0.25,0.178,0.0005,0.1,0.0025,143.36,0.032,93000,43000,802,19.033,1174,8.9,423.78,83.75,254.4,1.33,3.71,89.62,0.81,0.1,33.4,,,2011-05-03,"2011","5","RS-06"
22.5,7.12,,0.43,0.022,28.9,150,462.55,41.53,4.18,285,608,1.2,1.4006,0.0092,0.0237,0.01124,0.079,0.05,2.334,0.237,0.00272,0.1,0.0115,69,0.296,11000000,4600000,893,27.53,848,160,237.11,62.84,185.36,1.12,15.1,104.1,11.85,3.95,25.5,,,2011-05-03,"2011","5","RS-07"
25.5,7.58,,0.71,0.022,46.59,295.5,733.51,64.04,11.4,110,1974,10.3,6.1199,0.0164,0.0231,0.01215,0.224,0.101,6.077,0.478,0.00376,0.1,0.0208,106.63,0.736,4600000,2400000,2084,23.846,1124,500,373.33,76.24,250.64,1.56,23.7,95.25,10.92,6.71,32,,,2011-05-03,"2011","5","RS-08"
25.7,7.58,2.93,0.19,0.022,23.58,21.9,113.99,8.37,4.82,17,690,0.1,0.0909,0.0125,0.0252,0.0005,0.05,0.05,0.21,0.359,0.0005,0.1,0.0025,109.38,0.029,930,430,707,8.17,1143,33,383.42,82.07,202.76,1.31,12.75,89.56,0.44,1.97,35.3,,,2011-05-03,"2011","5","RS-09"
