"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
17,7.4,,0.561,0.022,33.04,196,400,30.76,0.79,78,666,0.1,1.066,0.012,0.005,0.0005,0.05,0.05,0.542,0.235,0.0005,0.239,0.0025,130.2,0.08,210000,150000,744,33.601,,,,,,,,,,,,,,2009-02-11,"2009","2","AA-01"
19,7.35,,0.534,0.022,31.36,122.5,313,2.12,0.4,79,918,0.5,1.17,0.0125,0.005,0.0005,0.05,0.05,0.676,0.361,0.0005,0.1,0.0025,128,0.086,4600000,2400000,997,31.894,,,,,,,,,,,,,,2009-02-11,"2009","2","AA-02"
23,8.01,1.61,0.42,0.022,2.58,8.4,49,7.06,0.33,71,575,0.1,4.691,0.0136,0.005,0.0005,0.05,0.05,4.435,0.117,0.0005,0.1,0.0025,68.9,0.081,3,3,646,3,782,200,351.8,4.7,163.6,0.65,1.29,61.06,5.16,0.062,25,9.9,,2009-04-20,"2009","4","RS-01"
22,7.37,,0.1,0.022,4.5,7.62,39.2,7.87,1.07,15,568,0.1,0.01,0.0101,0.005,0.0005,0.05,0.05,0.173,0.151,0.0005,0.1,0.0025,75,0.103,46000,46000,583,4.5,845,4,351.8,5.1,145.4,0.97,2.58,61.55,0.019,1.61,28,9.9,,2009-04-20,"2009","4","RS-02"
25,6.88,0.8,0.1,0.022,4.7,13.38,59.4,15.64,1.13,40,693,0.5,0.343,0.0122,0.005,0.0005,0.05,0.05,0.16,0.179,0.0005,0.1,0.0025,101.4,0.054,4300,2300,733,4.7,1042,14,458,61.76,194.9,0.932,1.17,,0.315,,,19.6,,2009-04-20,"2009","4","RS-03"
23,7.46,,0.1,0.022,10.3,19.68,177.1,9.5,2.92,7,702,0.1,0.2,0.0081,0.005,0.0005,0.05,0.05,0.125,0.172,0.0005,0.1,0.0025,100.1,0.105,240000,240000,709,10.3,1058,20,398.7,7.1,190.8,0.97,8.37,75.44,2.21,2.02,29,29.7,,2009-04-20,"2009","4","RS-04"
23,7.7,,0.1,0.103,11.59,10,58.8,7.88,3.3,6,968,0.1,0.01,0.0087,0.005,0.0005,0.05,0.05,0.16,0.251,0.0005,0.1,0.0025,110.8,0.072,240000,240000,974,11.693,1106,3.3,445.6,6.8,222.7,1.07,9.66,69.16,0.89,0.1,30,29.7,,2009-04-20,"2009","4","RS-05"
24,8.16,5.64,1.04,0.5,10.9,18,82.2,7.69,3.83,6,772,0.1,0.207,0.0075,0.005,0.0005,0.05,0.05,0.195,0.204,0.0005,0.1,0.0025,110.2,0.217,110000,110000,778,12.44,1109,4.4,422.1,6.8,181.8,1.09,8.37,87.07,0.44,0.1,30,19.8,,2009-04-20,"2009","4","RS-06"
28,7.56,,0.29,0.022,46.4,143.5,320.8,22.8,7.41,56,853,0.1,1.038,0.0063,0.005,0.0005,0.05,0.05,0.424,0.105,0.0005,0.1,0.0025,88.2,0.149,2400000,430000,909,46.69,1274,65.5,515.9,99.5,301,0.9,34.78,106.7,6.79,2.74,36,138.6,,2009-04-20,"2009","4","RS-07"
26,8.08,6.65,0.85,0.41,18.68,18.6,107.8,8.7,3.81,48,765,1,1.375,0.0127,0.005,0.007,0.05,0.05,0.821,0.135,0.0005,0.1,0.0025,110.9,0.076,110000,15000,813,19.94,1165,25,469,65.2,178.5,1.07,11.59,79.74,0.79,0.1,34,99,,2009-04-20,"2009","4","RS-08"
