"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Mercurio","Níquel","Plomo","Zinc","Coliformes totales","Coliformes fecales","Profundidad","Sólidos totales","Nitrógeno total","Manganeso","Sodio","Temp. ambiente","Transparencia Secchi","Clorofilas","fecha","año","mes","est"
26,8.9,6.55,1049,55,474.38,81.62,177.01,1,0.1,0.029,0.5,9.65,10,0.1,20.1,195.13,9.32,1.34,48,692,0.1,1.67,0.299,0.0025,0.1561,0.0005,0.05,0.05,0.14,0.0005,0.1,0.0025,0.14,4600,4600,,740,9.68,0.069,126.3,22,,509.72,2018-08-27,"2018","8","LC-02"
26,8.9,6.06,1059,60,466.69,82.81,175.03,0.97,0.1,0.01,0.74,16.56,10,0.1,18.54,206.01,5.38,1.27,38,703,0.1,1.83,0.1306,0.0025,0.1732,0.0005,0.05,0.05,0.05,0.0005,0.1,0.0025,0.034,90,40,,741,16.56,0.063,130.8,21,,371.79,2018-08-27,"2018","8","LC-03"
25,8.4,2.82,1068,33,476.54,81.16,169.69,0.9,0.1,0.01,2.4,10.74,11.22,0.1,24.72,217.79,5.14,1.67,31,722,0.1,1.38,0.1427,0.0025,0.1522,0.0005,0.05,0.05,0.07,0.0005,0.1,0.0025,0.037,430,430,,753,10.74,0.094,127.5,19,,141.74,2018-08-27,"2018","8","LC-04"
25,8.6,4.84,1067,50,478.71,82.08,203.54,1,0.1,0.01,1.77,12.57,10.42,0.1,24.3,185.76,5.14,1.38,36,740,0.1,1.32,0.1707,0.0025,0.1727,0.0005,0.05,0.05,0.06,0.0005,0.1,0.0025,0.041,230,40,,776,12.57,0.08,134.1,20,,221.47,2018-08-27,"2018","8","LC-05"
16,9.2,7.49,1075,40,462.01,83.23,185.24,3.8,0.13,0.01,0.68,10.12,10,0.1,35.28,134.69,5.14,1.51,68,713,0.1,0.1,0.1609,0.0152,0.1454,0.0005,0.05,0.05,0.092,0.0005,0.1,0.0059,0.022,24000,24000,,781,10.25,0.058,125.1,13,,225.46,2019-01-28,"2019","1","LC-01"
18,9.3,9.39,1078,45,465.22,94.57,183.07,3.81,0.27,0.01,0.5,11.03,10,0.1,12.72,273.79,5.14,1.26,80,723,0.1,0.1,0.1146,0.0188,0.1231,0.0005,0.05,0.05,0.088,0.0005,0.1,0.0061,0.02,150,90,,803,11.3,0.05,131.1,19,,230.75,2019-01-28,"2019","1","LC-02"
18,9.3,8.38,1083,45,458.8,83.64,187.02,2.3,0.11,0.01,0.5,10.46,10,0.1,14.34,261.25,5.14,1.38,75,736,0.1,1.72,0.1439,0.0097,0.1522,0.0005,0.05,0.05,0.076,0.0005,0.1,0.0054,0.02,90,40,,811,10.57,0.05,131.2,19,,211.56,2019-01-28,"2019","1","LC-03"
17,9.3,8.25,1082,38,480.88,82.73,197.7,2.47,0.12,0.01,0.5,10.52,10,0.1,12.54,244.62,5.14,1.26,80,725,0.1,0.1,0.1068,0.0158,0.1279,0.0005,0.05,0.05,0.062,0.0005,0.1,0.0079,0.024,90,90,,805,10.64,0.05,131.1,16,,247.98,2019-01-28,"2019","1","LC-04"
19,9.3,9.89,1080,55,456.39,81.54,197.7,2.72,0.12,0.01,0.5,10.69,10,0.1,18.03,277,5.14,1.49,78,749,0.1,0.1,0.1408,0.0181,0.1285,0.0005,0.05,0.05,0.076,0.0005,0.1,0.0054,0.028,230,90,,827,10.81,0.05,128.4,18,,239.17,2019-01-28,"2019","1","LC-05"
18,9,9.96,1059,75,425.86,82.7,167.16,1.39,0.1,0.01,0.68,10.62,10,0.11,16.95,234.11,5.14,1.85,74,740,0.1,1.97,0.1132,0.0025,0.1815,0.00054,0.05,0.05,0.14,0.0005,0.1,0.0025,2.856,24000,9300,,813,10.62,0.095,131.6,24,,225.46,2019-02-25,"2019","2","LC-01"
21,9.3,11.36,927,80,445.82,83.97,189.71,1.39,0.1,0.01,0.5,9.31,10,0.1,17.91,266.79,7.3,1.56,89,728,0.1,2.51,0.0727,0.0025,0.1794,0.0005,0.05,0.05,0.108,0.0005,0.1,0.0026,0.02,150,90,,817,9.31,0.052,129.5,26,,230.75,2019-02-25,"2019","2","LC-02"
21,9.2,11.2,1068,75,471.55,84.16,176.06,1.45,0.1,0.01,0.5,9.71,10,0.1,16.17,246.95,7.65,1.48,89,725,0.1,2.57,0.0432,0.0025,0.1574,0.0005,0.05,0.05,0.102,0.0005,0.1,0.0025,0.02,230,90,,814,9.71,0.051,129.6,25,,211.56,2019-02-25,"2019","2","LC-03"
20,9.2,13.3,1071,70,462.72,84.84,178.04,0.99,0.1,0.01,0.5,9.88,10,0.1,13.65,234.99,5.14,1.55,83,708,0.1,1.02,0.0769,0.0025,0.1368,0.0005,0.05,0.05,0.081,0.0005,0.1,0.0046,0.02,930,430,,791,9.88,0.058,136.9,29,,247.98,2019-02-25,"2019","2","LC-04"
20,9.2,10.33,1074,70,464.26,85.39,168.15,2.29,0.1,0.01,0.5,9.65,10,0.1,14.67,238.49,5.14,1.57,80,749,0.1,1.38,0.0938,0.0025,0.1723,0.0005,0.05,0.05,0.102,0.0005,0.1,0.0071,0.02,430,430,,829,9.65,0.05,129.9,25,,239.18,2019-02-25,"2019","2","LC-05"
25,9.1,6.15,824.7,90,348.38,64.09,174.81,0.71,0.1,0.01,0.5,10.39,10,0.1,24.36,186.07,6.92,1.59,64,597,0.1,1.8,1.525,0.0025,0.0889,0.0005,0.05,0.05,1.154,0.0005,0.1,0.0025,0.02,460000,150000,,661,10.39,0.2,100.6,23,,1090.54,2018-09-25,"2018","9","LC-01"
24,9.2,5.87,1066,80,437.37,82.87,177.98,0.8,0.1,0.01,0.5,9.94,10,0.1,14.07,181.84,8.41,1.43,70,714,0.1,1.6,0.1503,0.0025,0.1069,0.0005,0.05,0.05,0.103,0.0005,0.1,0.0025,0.02,930,430,,784,9.94,0.052,130.5,24,,274.92,2018-09-25,"2018","9","LC-02"
24,9.4,7.75,1062,80,450.19,84.36,204.74,0.89,0.1,0.01,0.5,9.2,10,0.1,17.58,206.31,13.2,1.32,109,632,0.1,1.32,0.1017,0.0025,0.0897,0.0005,0.05,0.05,0.088,0.0005,0.1,0.0025,0.02,430,430,,741,9.2,0.05,134.1,26,,330.85,2018-09-25,"2018","9","LC-03"
24,9.2,6.81,1063,70,428.04,82.96,206.52,0.82,0.1,0.01,0.5,10.62,10,0.1,18.06,174.89,9.64,1.34,64,705,0.1,0.74,0.0925,0.0025,0.0772,0.0005,0.05,0.05,0.107,0.0005,0.1,0.0025,0.02,430,150,,769,10.62,0.05,132.8,24,,323.9,2018-09-25,"2018","9","LC-04"
24,9.3,5.85,1066,80,436.2,85.09,190.87,0.79,0.1,0.01,0.5,9.08,10,0.1,20.4,188.79,9.77,1.38,70,715,0.1,1.04,0.1422,0.0025,0.0896,0.0005,0.05,0.05,0.183,0.00065,0.1,0.0025,0.02,210,70,,785,9.08,0.052,133.5,26,,291.04,2018-09-25,"2018","9","LC-05"
17,9.3,6.45,1035,80,423.37,79.22,179.7,0.72,0.1,0.01,0.5,9.88,10,0.1,10.32,166.31,7.78,1.62,64,695,0.1,2.44,0.213,0.0034,0.1921,0.00095,0.05,0.05,0.116,0.0005,0.1,0.0137,0.02,240000,240000,,759,9.88,0.064,122.8,12,,354.78,2018-11-26,"2018","11","LC-01"
20,9.7,8.75,1049,85,440.12,82.82,176.5,0.73,0.1,0.01,0.5,8.51,10,0.1,12.66,161.15,7.15,1.31,55,724,0.1,2.23,0.1816,0.0037,0.1793,0.00092,0.05,0.05,0.101,0.0005,0.1,0.0129,0.02,40,40,,789,8.51,0.05,134.3,19,,431.17,2018-11-26,"2018","11","LC-02"
19,9.6,8.61,1050,180,444.26,83.97,186.92,0.82,0.1,0.01,0.5,17.08,10,0.1,19.98,204.69,9.74,1.81,120,711,0.1,1.82,0.1863,0.0038,0.1882,0.00119,0.05,0.05,0.17,0.0005,0.1,0.0139,0.02,40,40,,831,17.08,0.05,127.2,19,,327.78,2018-11-26,"2018","11","LC-03"
19,9.6,9.11,1051,85,433.82,82.91,184.51,0.65,0.1,0.01,0.5,9.25,10,0.1,14.13,164.59,7.24,1.35,764,672,0.1,2.93,0.1503,0.0036,0.1792,0.00117,0.05,0.05,0.074,0.0005,0.1,0.019,0.02,70,70,,764,9.25,0.05,127.5,13,,331.98,2018-11-26,"2018","11","LC-04"
20,9.7,8.32,1049,85,435.59,81.71,182.71,0.76,0.1,0.01,0.5,20.05,10,0.1,13.08,221.88,9.65,1.31,82,683,0.1,1.4,0.1712,0.0043,0.1701,0.00135,0.05,0.074,0.097,0.0005,0.1,0.0214,0.02,230,90,,765,20.05,0.05,126.6,16,,326.79,2018-11-26,"2018","11","LC-05"
17,8.8,7.15,1035,80,425.54,79.54,200.45,0.76,0.1,0.01,0.5,8.77,10,0.1,12.06,137.66,5.14,1.71,52,654,0.1,1.91,0.2334,0.0056,0.1712,0.0005,0.05,0.05,0.196,0.0005,0.1,0.0025,0.02,46000,24000,,706,8.77,0.054,129.3,20,,250.13,2018-12-19,"2018","12","LC-01"
18,8.8,7.3,1053,90,426.13,84.76,177.54,0.7,0.1,0.01,0.5,12.39,10,0.1,12.42,145.39,5.14,1.46,57,702,0.1,1.58,0.0714,0.0025,0.1222,0.00185,0.05,0.05,0.088,0.0005,0.1,0.0025,0.072,430,230,,759,12.39,0.05,132.9,19,,212.01,2018-12-19,"2018","12","LC-02"
17,8.8,7.36,1054,85,441.11,83.14,179.73,0.77,0.1,0.01,0.5,9.56,10,0.1,9.93,109.87,5.14,1.4,50,705,0.1,1.4,0.1005,0.0093,0.1388,0.0005,0.05,0.05,0.17,0.0005,0.1,0.0025,0.02,150,90,,755,9.56,0.196,129.9,19,,197.1,2018-12-19,"2018","12","LC-03"
19,8.8,7.67,1052,80,443.47,82.08,180.93,0.75,0.1,0.01,0.5,13.23,10,0.1,13.47,192.09,5.14,1.52,57,715,0.1,1.56,0.2028,0.0053,0.1805,0.0005,0.05,0.05,0.144,0.0009,0.1,0.0025,0.02,930,430,,772,13.23,0.05,129.2,19,,254.14,2018-12-19,"2018","12","LC-04"
19,8.8,8.63,1050,95,434.21,84.16,183.52,0.82,0.1,0.01,0.5,8.77,10,0.1,13.47,166.31,5.14,1.42,72,689,0.1,1.52,0.1617,0.0069,0.1635,0.0005,0.05,0.05,0.164,0.0005,0.1,0.0025,0.02,90,90,,761,8.77,0.05,129.9,19,,252.64,2018-12-19,"2018","12","LC-05"
22,9.3,10.67,1119,110,474.46,86.19,176.82,0.96,0.1,0.01,0.5,11.82,10,0.1,20.01,278.88,5.14,2.14,90,766,0.1,0.91,0.2022,0.0047,0.0964,0.00129,0.05,0.05,0.129,0.0005,0.1,0.0056,0.021,11000,4600,,856,11.82,0.05,141.1,22,,255.14,2019-03-25,"2019","3","LC-01"
21,9.2,7.38,1142,110,474.07,93.35,184.59,1.24,0.1,0.01,0.5,10.45,10,0.1,17.37,272.83,5.14,1.75,90,783,0.1,0.83,0.1139,0.0043,0.081,0.00114,0.05,0.05,0.12,0.0005,0.1,0.0054,0.02,430,150,,873,10.45,0.069,135.6,24,,194.68,2019-03-25,"2019","3","LC-02"
22,9.3,8.84,1152,100,488.7,92.28,188.79,1.52,0.1,0.01,0.5,10.05,10,0.1,20.61,287.25,6.81,1.54,93,772,0.1,0.31,0.0895,0.0025,0.0854,0.0027,0.05,0.05,0.083,0.00176,0.1,0.0067,0.02,930,430,,865,10.05,0.05,141.4,22,,197.78,2019-03-25,"2019","3","LC-03"
21,9.2,8.33,1152,100,475.23,92.32,175.98,1.37,0.1,0.01,0.5,10.39,10,0.1,19.56,304.85,7.35,1.6,93,771,0.1,0.43,0.1448,0.0031,0.0947,0.00129,0.05,0.05,0.089,0.00363,0.1,0.0063,0.029,930,230,,864,10.39,0.05,141.9,21,,241.94,2019-03-25,"2019","3","LC-04"
24,9.3,7.56,1156,110,478.31,92.75,178.08,1.59,0.1,0.01,0.5,10.28,10,0.1,19.8,297.35,6.25,1.58,90,785,0.1,0.51,0.0988,0.0025,0.0849,0.0005,0.05,0.05,0.089,0.0005,0.1,0.0065,0.64,430,230,,875,10.28,0.05,144.9,22,,175.96,2019-03-25,"2019","3","LC-05"
22,9.2,4.86,1186,50,526.96,100.26,155.76,0.84,0.1,0.01,0.5,13.4,10,0.1,18.6,324.72,10.1,1.69,100,823,0.1,0.56,0.5229,0.0025,0.2141,0.00097,0.05,0.05,0.711,0.00056,0.1,0.0081,0.028,150000,150000,,923,13.4,0.066,149.4,25,,261.42,2019-04-29,"2019","4","LC-01"
23,9.5,7.82,1199,40,540.69,98.98,140.8,0.93,0.1,0.01,0.5,12.39,10,0.1,18.18,355.02,5.14,1.26,75,827,0.1,0.1,0.2,0.0025,0.1807,0.00074,0.05,0.05,0.14,0.00052,0.1,0.0079,0.02,2400,2400,,902,12.39,0.05,145,25,,228.63,2019-04-29,"2019","4","LC-02"
22,9.4,8.27,1201,40,518.07,98.65,155.32,0.98,0.1,0.01,1.92,11.54,10,0.1,18.99,329.34,21.49,1.28,77,822,0.1,0.1,0.1936,0.0025,0.2037,0.00084,0.05,0.05,0.087,0.00072,0.1,0.0073,0.033,1500,390,,899,11.54,0.05,146.4,25,,306.94,2019-04-29,"2019","4","LC-03"
21,9.4,6.89,1197,50,531,99.27,160.6,0.8,0.18,0.01,0.5,10.69,10,0.1,17.58,308.57,5.14,1.4,60,836,0.1,0.1,0.3353,0.0025,0.2739,0.0009,0.05,0.05,0.14,0.0005,0.1,0.008,0.043,9300,9300,,896,10.87,0.05,145.7,24,,273.67,2019-04-29,"2019","4","LC-04"
22,9.4,7.71,1197,50,531,99.36,169.18,1.75,0.1,0.01,0.5,12.05,10,0.1,18.15,381.84,5.14,1.28,83,826,0.1,1.12,0.2242,0.0025,0.2095,0.00106,0.05,0.05,0.108,0.00073,0.1,0.0079,0.059,15000,15000,,909,12.05,0.05,146.3,26,,329.31,2019-04-29,"2019","4","LC-05"
24,9.1,8.76,1265,9,618.32,107.7,209.88,1.4,0.13,0.01,0.56,11.99,10,0.1,16.68,421.37,5.14,1.43,107,868,0.1,2.55,0.2611,0.0105,0.005,0.00429,0.05,0.05,0.268,0.0005,0.1,0.0155,0.03,930,930,,975,12.12,0.06,158.3,26,,290.44,2019-05-27,"2019","5","LC-01"
24,9.2,8.03,1239,90,561.28,105.53,201.52,4.66,0.14,0.01,1.58,11.25,10,0.1,21.51,329.05,5.27,1.54,106,876,0.1,3.27,0.4162,0.0025,0.005,0.0005,0.05,0.05,0.169,0.0005,0.1,0.0087,0.02,230,90,,982,11.39,0.062,158.3,26,,330.78,2019-05-27,"2019","5","LC-02"
24,9.2,8.93,1265,95,574.4,106,207.46,1.63,0.15,0.01,1.7,11.25,10,0.1,19.5,360.5,5.81,1.34,104,870,0.1,2.99,0.2335,0.0044,0.005,0.0005,0.05,0.05,0.081,0.0005,0.1,0.0098,0.02,230,90,,974,11.4,0.05,165.1,28,,308.3,2019-05-27,"2019","5","LC-03"
25,9.3,10.76,1263,90,583.49,106.85,198.22,0.83,0.25,0.01,1.07,10.69,10,0.1,22.41,369.73,6.14,1.87,115,862,0.1,4.6,0.2013,0.0047,0.1262,0.00187,0.05,0.05,0.085,0.0005,0.1,0.0119,0.02,230,90,,977,10.94,0.05,155.7,25,,303.23,2019-05-27,"2019","5","LC-04"
25,9.3,9.52,1227,95,613.78,103.46,212.52,1.44,0.12,0.01,1.02,11.2,10,0.1,22.2,367.71,5.27,1.41,117,862,0.1,3.34,0.3166,0.0045,0.1405,0.0005,0.05,0.05,0.298,0.0005,0.1,0.0096,0.02,230,90,,979,11.32,0.05,162,25,,305.56,2019-05-27,"2019","5","LC-05"
23,8.7,7.23,1229,65,486.8,106.39,197.9,2.29,0.1,0.01,0.5,10.75,10,0.1,12.18,208.95,7.31,1.54,80,839,0.1,1.02,0.4674,0.0096,0.1229,0.00132,0.05,0.05,0.333,0.0005,0.1,0.0071,0.02,24000,24000,,919,10.75,0.057,164.7,25,,269.93,2019-06-24,"2019","6","LC-01"
25,8.9,6.93,1250,65,477.46,106.94,151.16,2.28,0.1,0.01,0.5,10.98,10,0.1,27.54,290.82,5.14,1.35,75,881,0.1,0.81,0.3846,0.108,0.1674,0.00185,0.05,0.05,0.195,0.0005,0.1,0.0082,0.042,1500,750,,956,10.98,0.052,169.4,26,,279.96,2019-06-24,"2019","6","LC-02"
25,8.9,9.47,1245,45,449.07,106.49,179.21,2.28,0.1,0.01,0.5,10.53,10,0.1,25.02,229.96,5.14,1.4,58,864,0.1,1.02,0.3705,0.0108,0.1255,0.00253,0.05,0.05,0.191,0.0005,0.1,0.0152,0.02,930,430,,922,10.53,0.05,166.9,26,,314.61,2019-06-24,"2019","6","LC-03"
25,9,6.91,1250,45,473.35,107.4,157.09,2.29,0.1,0.01,0.5,10.81,10,0.1,29.16,260.23,5.14,1.28,63,881,0.1,0.63,0.4158,0.0103,0.1127,0.00194,0.05,0.05,0.139,0.0005,0.1,0.0071,0.02,230,90,,944,10.81,0.05,168.9,25,,240.88,2019-06-24,"2019","6","LC-04"
26,9,6.06,1254,65,485.68,107.22,178.75,2.27,0.1,0.01,0.5,11.14,10,0.1,34.98,256.22,5.14,1.31,100,899,0.2,1.1,0.6396,0.0112,0.116,0.00116,0.05,0.05,0.817,0.0005,0.1,0.009,0.024,230,90,,999,11.14,0.066,171.9,25,,292.37,2019-06-24,"2019","6","LC-05"
23,7.6,4.16,722,50,275.38,47.95,72.15,0.7,0.1,0.01,2.11,7.49,114.44,0.35,18.42,96,5.88,1.78,52,491,0.3,2.14,0.3486,0.0025,0.1339,0.00197,0.05,0.05,2.295,0.00058,0.1,0.0303,0.032,1100000,1100000,,543,7.49,0.215,82.1,21,,165.84,2019-07-22,"2019","7","LC-01"
24,8.9,4.55,1235,65,509.01,108.23,131.31,1.38,0.1,0.01,0.5,10.18,10,0.19,22.74,216.98,8.95,1.57,37,859,0.1,0.54,0.1768,0.0025,0.0852,0.00279,0.05,0.05,0.161,0.0005,0.1,0.0419,0.02,11000,4600,,896,10.18,0.05,161.7,24,,342.5,2019-07-22,"2019","7","LC-02"
23,8.8,4.01,1224,65,490.07,107.53,131.08,0.96,0.1,0.01,0.5,9.42,10.28,0.15,38.28,229.65,5.14,1.52,26,845,0.1,0.58,0.1009,0.0025,0.0799,0.00185,0.05,0.05,0.08,0.0005,0.1,0.156,0.02,4600,2400,,871,9.42,0.05,161,21,,282.65,2019-07-22,"2019","7","LC-03"
23,8.7,3.34,1133,40,446.22,97.11,111.13,0.98,0.1,0.01,0.5,8.43,10.7,0.18,26.7,155.19,5.14,1.48,25,790,0.1,0.34,0.1889,0.0025,0.1695,0.00177,0.05,0.05,0.285,0.00061,0.1,0.0183,0.02,46000,24000,,815,8.43,0.064,147,19,,204.68,2019-07-22,"2019","7","LC-04"
23,8.8,4.34,1204,65,479.54,105.11,126.67,1.9,0.1,0.01,0.5,9.36,10.32,0.16,34.92,198.75,5.14,1.56,30,840,0.2,0.77,0.1559,0.0044,0.1728,0.00201,0.05,0.05,0.184,0.0005,0.1,0.0494,0.03,1500,930,,870,9.36,0.05,158.1,19,,201.97,2019-07-22,"2019","7","LC-05"
23,8.8,7.11,1115,25,428.67,93.19,185.16,3.55,0.14,0.01,1.21,8.59,10,0.46,19.5,196.59,13.76,1.61,25,773,0.1,1.55,0.2324,0.0025,0.1445,0.0005,0.05,0.05,0.286,0.0005,0.1,0.0025,1.504,110000,110000,,798,8.74,0.088,141.3,23,,178.64,2019-08-26,"2019","8","LC-01"
25,9.1,7.48,1144,45,465.91,95.45,199.68,2.5,0.14,0.02,0.5,7.04,10,0.4,11.85,201.22,14.82,1.42,30,778,0.1,1.51,0.172,0.0029,0.1043,0.0005,0.05,0.05,0.277,0.0005,0.1,0.0027,0.887,11000,4600,,818,7.2,0.05,146.6,24,,138.03,2019-08-26,"2019","8","LC-02"
25,8.9,10.3,1135,55,469.72,95.54,183.74,2.66,0.11,0.01,0.5,7.56,10,0.38,12.76,199.37,14.84,1.45,20,792,0.1,1.93,0.1183,0.0039,0.1265,0.00073,0.05,0.05,0.098,0.0005,0.1,0.0025,1.559,430,230,,812,7.67,0.05,146.6,24,,118.61,2019-08-26,"2019","8","LC-03"
24,8.8,6.17,1145,45,455.86,96.74,183.97,3.3,0.12,0.01,0.63,7.32,10,0.4,8.54,182.69,11.55,1.35,30,778,0.1,1.55,0.1029,0.0025,0.1368,0.0005,0.05,0.05,0.113,0.0005,0.1,0.0045,0.02,430,230,,808,7.44,0.05,143.4,23,,81.29,2019-08-26,"2019","8","LC-04"
25,9.2,9.09,1148,55,473.53,94.34,194.21,2.05,0.11,0.01,0.5,7.79,10,0.35,19.23,151.17,11.2,1.29,40,772,0.1,1.83,0.1337,0.0025,0.1222,0.0005,0.05,0.05,0.113,0.0005,0.1,0.0025,0.583,150,90,,812,7.9,0.05,146.2,24,,84.63,2019-08-26,"2019","8","LC-05"
24,9,5.78,984,75,394.85,87.86,156.49,2.49,0.11,0.01,0.5,8.36,10,0.1,14.73,226.36,5.14,1.28,60,671,0.1,3.64,0.3078,0.0043,0.1495,0.00167,0.05,0.05,0.421,0.00064,0.1,0.0058,0.209,460000,460000,,731,8.47,0.066,139.3,28,,204.26,2019-09-23,"2019","9","LC-01"
24,9.3,6.57,1037,75,429.47,95.94,162.83,1.64,0.1,0.01,0.5,7.44,10,0.1,10.95,132.35,5.14,1.36,73,723,0.1,1,0.1488,0.0044,0.0177,0.00185,0.05,0.05,0.09,0.00119,0.1,0.0025,3.002,430,230,,796,7.44,0.05,148.6,28,,279.54,2019-09-23,"2019","9","LC-02"
24,9.3,7.19,1024,65,420.25,94.92,161.6,1.83,0.11,0.01,0.5,8.13,10,0.1,14.22,237.03,5.14,1.32,60,688,0.1,0.36,0.1023,0.0025,0.0453,0.00164,0.05,0.05,0.094,0.00098,0.1,0.003,0.031,430,430,,748,8.24,0.05,147.6,30,,295.24,2019-09-23,"2019","9","LC-03"
24,9.2,7.27,1039,70,440.73,97.66,160.38,2.58,0.1,0.01,0.5,7.84,10,0.1,14.01,124.48,5.14,1.38,60,721,0.1,0.63,0.0855,0.0025,0.012,0.00167,0.05,0.05,0.16,0.00073,0.1,0.0039,0.02,230,90,,781,7.84,0.05,149.8,28,,308.1,2019-09-23,"2019","9","LC-04"
25,9.2,6.95,1042,70,450.56,95.06,159.56,2.02,0.1,0.01,0.5,7.38,10,0.1,13.89,137.76,5.14,1.43,67,746,0.1,0.52,0.2373,0.0025,0.0167,0.00184,0.05,0.05,0.215,0.00084,0.1,0.0052,0.02,430,430,,813,7.38,0.05,149.6,29,,263.61,2019-09-23,"2019","9","LC-05"
21,9,9.38,1039,70,398.99,89.43,162.73,0.87,0.31,0.01,0.5,10.86,10,0.1,19.98,513.6,5.14,1.61,63,734,0.1,0.82,0.5017,0.0025,0.356,0.00074,0.05,0.05,0.548,0.0005,0.1,0.0025,0.02,11000,11000,,797,11.17,0.624,141.6,21,,337.61,2019-10-21,"2019","10","LC-01"
22,9.1,6.41,1090,60,430.5,95.22,160.72,1.14,0.28,0.01,0.5,8.1,10,0.38,9.93,118.58,5.14,1.29,47,740,0.1,0.76,0.3186,0.0025,0.239,0.00076,0.05,0.05,0.201,0.0005,0.1,0.0025,0.02,4600,4600,,787,8.38,0.05,150.7,19,,182.8,2019-10-21,"2019","10","LC-02"
21,9,5.89,1088,65,416.25,89.25,163.33,1.17,0.28,0.01,0.5,7.93,20.4,0.1,7.53,108.82,5.14,1.43,50,747,0.1,0.81,0.2007,0.0025,0.165,0.0005,0.05,0.05,0.204,0.0005,0.1,0.0025,0.02,430,430,,797,8.21,0.05,149,20,,242.16,2019-10-21,"2019","10","LC-03"
22,9.1,7.32,1085,70,422.07,94.94,162.93,1.77,0.28,0.01,0.5,7.82,10,0.1,10.38,130.3,5.14,1.42,60,748,0.1,0.57,0.1335,0.0025,0.141,0.0005,0.05,0.05,0.154,0.0005,0.1,0.0025,0.02,90,90,,808,8.1,0.05,149.6,22,,317.37,2019-10-21,"2019","10","LC-04"
22,9.1,7.11,1080,75,216.35,96.1,165.55,0.93,0.3,0.01,0.5,8.33,26.05,0.13,12.87,128.34,5.14,1.39,57,759,0.1,0.52,0.1428,0.0025,0.152,0.0005,0.05,0.05,0.255,0.00054,0.1,0.0025,0.02,930,930,,816,8.63,0.05,148.5,20,,190.96,2019-10-21,"2019","10","LC-05"
21,9.2,7.73,1030,80,421.61,85.3,156.53,3.39,0.84,0.014,0.89,8.25,25.24,0.1,12.56,114.64,10.55,2.18,60,686,0.1,0.85,0.2378,0.0025,0.237,0.00102,0.05,0.05,0.228,0.0005,0.1,0.0025,0.02,46000,24000,,746,9.1,0.062,139.6,26,,166.36,2019-11-25,"2019","11","LC-01"
21,9.1,7.43,1089,80,439.62,95.1,167.71,1.41,0.21,0.01,0.5,7.69,10,0.1,12.34,124.48,10.73,1.62,66,709,0.1,0.44,0.1652,0.0025,0.253,0.00096,0.05,0.05,0.173,0.0005,0.1,0.0031,0.101,90,90,,775,7.9,0.05,149.5,20,,136.93,2019-11-25,"2019","11","LC-02"
21,9.2,7.75,1083,80,436.42,96.6,156.93,1.27,0.23,0.01,0.5,7.86,10,0.1,11.98,125.46,6.76,1.6,63,722,0.1,0.7,0.099,0.004,0.189,0.00099,0.05,0.05,0.139,0.0005,0.1,0.0025,0.058,90,40,,785,8.09,0.05,148.9,25,,106.56,2019-11-25,"2019","11","LC-03"
22,9.5,8.53,1085,80,448.02,95.32,159.13,1.18,0.21,0.01,0.5,8.13,10,0.1,13.5,125.46,9.73,1.6,72,704,0.1,0.12,0.1171,0.0025,0.189,0.00092,0.05,0.05,0.16,0.0005,0.1,0.0025,0.033,90,90,,776,8.34,0.05,149,27,,116.81,2019-11-25,"2019","11","LC-04"
23,9.7,9.8,1104,87.5,450.42,94.17,160.33,1.42,0.26,0.01,0.5,7.8,10,0.1,16.42,129.89,7.81,1.52,80,726,0.1,0.46,0.2064,0.0037,0.211,0.00077,0.05,0.05,0.176,0.0005,0.1,0.0025,0.035,90,90,,806,8.06,0.05,150,27,,136.2,2019-11-25,"2019","11","LC-05"
20,8.7,8.4,1731,110,471.09,92.37,161.07,1.47,0.47,0.01,0.5,10.45,10,0.1,16.26,396.09,5.14,1.78,73,754,0.1,0.1,0.254,0.0072,0.241,0.0005,0.05,0.05,0.157,0.0005,0.1,0.004,0.026,15000,15000,,827,10.92,0.062,141.7,21,,279.24,2020-01-27,"2020","1","LC-01"
18,8.8,6.65,1842,110,477.65,97.61,161.07,1.97,0.36,0.01,0.5,9.87,10,0.1,12.21,249.67,5.14,1.57,68,799,0.1,0.43,0.216,0.0075,0.244,0.0005,0.05,0.05,0.132,0.00089,0.1,0.0038,0.02,90,90,,867,10.23,0.05,147.8,15,,250.93,2020-01-27,"2020","1","LC-02"
19,8.7,6.92,1725,100,479.29,97.24,156.28,1.76,0.34,0.01,0.5,8.84,10,0.1,14.16,294.63,6.13,1.53,69,778,0.1,0.1,0.232,0.007,0.242,0.0005,0.05,0.05,0.11,0.00102,0.1,0.0053,0.02,40,40,,847,9.18,0.05,147.5,16,,129.23,2020-01-27,"2020","1","LC-03"
